city#country#iata#icao#airport
bangkok#thailand#bkk#vtbs#suvarnabhumi airport
beijing#china#pek#zbaa#beijing capital international airport
changsha#china#csx#zgha#changsha huanghua international airport
chengdu#china#ctu#zuuu#chengdu shuangliu international airport
chongqing#china#ckg#zuck#chongqing jiangbei international airport
hangzhou#china#hgh#zshc#hangzhou xiaoshan international airport
hefei#china#hfe#zsof#hefei luogang international airport
kaohsiung#taiwan#khh#rckh#kaohsiung international airport
macau#macau#mfm#vmmc#macau international airport
nanjing#china#nkg#zsnj#nanjing lukou international airport
nanning#china#nng#zgnn#nanning wuxu international airport
ningbo#china#ngb#zsnb#ningbo lishe international airport
osaka#japan#kix#rjbb#kansai international airport
seoul#south korea#icn#rksi#incheon international airport
shanghai#china#sha#zsss#shanghai hongqiao international airport
shanghai#china#pvg#zspd#shanghai pudong international airport
shenyang#china#she#zytx#shenyang taoxian international airport
shenzhen#china#szx#zgsz#shenzhen bao'an international airport
singapore#singapore#sin#wsss#singapore changi airport
taipei#taiwan#tpe#rctp#taiwan taoyuan international airport
taiyuan#china#tyn#zbyn#taiyuan wusu airport
tokyo#japan#nrt#rjaa#narita international airport
xiamen#china#xmn#zsam#xiamen gaoqi international airport
wenzhou#china#wnz#zswz#wenzhou yongqiang international airport
