rank#name#team#country#points
1#romario#fc barcelona#brazil#346
2#hristo stoitchkov#fc barcelona#bulgaria#100
3#roberto baggio#juventus fc#italy#80
4#gheorghe hagi#fc barcelona#romania#50
5#paolo maldini#milan ac#italy#40
6#bebeto#deportivo la coruna#brazil#16
7#dennis bergkamp#inter milan#netherlands#11
8#carlos bledorn verri dunga#vfb stuttgart#brazil#9
9#franco baresi#milan ac#italy#7
9#tomas brolin#parma fc#sweden#7
9#jã¼rgen klinsmann#tottenham hotspur fc#germany#7
9#mauro da silva gomes#deportivo la coruna#brazil#7
