week#date#opponent#result#attendance
1#september 6 , 1981#los angeles rams#w 27 - 20#63198
2#september 13 , 1981#cleveland browns#w 9 - 3#79483
3#september 20 , 1981#miami dolphins#l 16 - 10#47379
4#september 27 , 1981#new york jets#l 33 - 17#50309
5#october 4 , 1981#cincinnati bengals#w 17 - 10#44350
6#october 11 , 1981#seattle seahawks#w 35 - 17#42671
7#october 18 , 1981#new england patriots#l 38 - 10#60474
8#october 26 , 1981#pittsburgh steelers#l 26 - 13#52732
9#november 1 , 1981#cincinnati bengals#l 34 - 21#54736
10#november 8 , 1981#oakland raiders#w 17 - 16#45519
11#november 15 , 1981#kansas city chiefs#l 23 - 10#73984
12#november 22 , 1981#new orleans saints#l 27 - 24#49581
13#november 29 , 1981#atlanta falcons#l 31 - 27#40201
14#december 3 , 1981#cleveland browns#w 17 - 13#44502
15#december 13 , 1981#san francisco 49ers#l 28 - 6#55707
16#december 20 , 1981#pittsburgh steelers#w 21 - 20#41056
