title#parent magazine#magazine type#frequency#magazine run
clacla#dengeki hime#yaoi manga & light novel#quarterly#october 30 , 2007 - april 30 , 2008
dengeki 5pb#ascii pc#video game#one issue#december 24 , 2010
dengeki black maoh#dengeki maoh#light novel , manga , video game#quarterly#september 19 , 2007 - june 19 , 2010
dengeki daioh genesis#sylph#manga#bimonthly#january 19 , 2010 - november 19 , 2012
dengeki festival! heaven#dengeki g 's magazine#shōjo manga#one issue#july 9 , 2008
dengeki fps#dengeki girl 's style#video game#one issue#september 2 , 2010
dengeki g 's festival! anime#dengeki g 's magazine#anime , bishōjo game#variable#february 9 , 2008 - september 29 , 2009
dengeki g 's festival! deluxe#dengeki g 's magazine#bishōjo game , eroge#variable#november 30 , 2007 - july 16 , 2010
dengeki games#dengeki nintendo#video game#monthly#october 13 , 2006 - may 26 , 2011
dengeki layers bible#dengeki layers#cosplay#variable#march 3 , 2009 - february 5 , 2010
dengeki playstation 3#dengeki playstation#video game#variable#may 15 , 2009 - december 3 , 2009
dengeki psp#dengeki playstation#video game#variable#december 3 , 2004 - october 21 , 2011
dengeki scale modeler#dengeki hobby magazine#scale model#bimonthly#july 25 , 2007 - may 24 , 2008
i - mode de asobu!#dengeki maoh#mobile phone#bimonthly#march 28 , 2001 - march 16 , 2012
visualboy brush#ascii pc#pop culture males#quarterly#november 10 , 2008 - september 28 , 2010
