elector#order#title#elevated#elevator
francesco moricotti prignani#cardinal - bishop#bishop of palestrina#1378 , september 18#urban vi
andrea bontempi martini#cardinal - priest#titulus ss marcellino e pietro#1378 , september 18#urban vi
poncello orsini#cardinal - priest#titulus s clemente#1378 , september 18#urban vi
pietro tomacelli#cardinal - priest#titulus s anastasia#1381 , december 21#urban vi
angelo acciaioli#cardinal - priest#titulus s lorenzo in damaso#1384 , december 17#urban vi
francesco carbone tomacelli , ocist#cardinal - priest#titulus s susanna#1384 , december 17#urban vi
stefano palosio#cardinal - priest#titulus s marcello#1384 , december 17#urban vi
tommaso orsini dei conti di manupello#cardinal - deacon#deacon of s maria in domnica#circa 13831379#urban vi
francesco renzio#cardinal - deacon#deacon of s eustachio#1381 , december 21#urban vi
marino bulcani#cardinal - deacon#deacon of s maria nuova#1384 , december 17#urban vi
rinaldo brancaccio#cardinal - deacon#deacon of ss vito e modesto#1384 , december 17#urban vi
ludovico fieschi#cardinal - deacon#deacon of s adriano#1384 , december 17#urban vi
angelo d'anna de sommariva , ocamald#cardinal - deacon#deacon of s lucia in septisolio#1384 , december 17#urban vi
