position#team#points#played#drawn#lost#against#difference
1#coritiba#69#38#6#11#41#13
2#ipatinga#67#38#7#11#41#19
3#portuguesa#63#38#12#9#46#17
4#vitória#59#38#5#15#50#18
5#fortaleza#56#38#5#16#46#5
6#marília#53#38#8#13#61#5
7#criciúma#53#38#8#16#44#7
8#crb#53#38#8#15#62#- 8
9#brasiliense#53#38#11#13#53#4
10#são caetano#53#38#14#11#39#6
11#ponte preta#52#38#13#12#55#3
12#gama#51#38#9#15#56#- 3
13#barueri#51#38#9#15#71#- 14
14#santo andré#51#38#12#13#50#1
15#avaí#51#38#12#13#55#- 3
16#ceará#50#38#11#14#58#0
17#paulista#45#38#10#17#61#- 3
18#santa cruz#42#38#12#16#65#- 18
19#remo#36#38#6#22#69#- 16
20#ituano#33#38#9#21#74#- 33
