date#tournament#surface#partner#opponents#score
march 25 , 2007#canada f3 , rock forest#hard (i)#érik chvojka#christophe palmanshofer jason zimmermann#7 - 5 , 6 - 3
october 12 , 2008#germany f22 , leimen#hard (i)#michal navrátil#nils langer frank wintermantel#6 - 3 , 6 - 4
november 9 , 2008#rimouski , canada#hard (i)#milos raonic#kristian pless michael ryderstedt#5 - 7 , 6 - 4
november 23 , 2008#nicaragua f1 , managua#hard#jiří krkoška#alexandru cojanu deniss pavlovs#7 - 6 (7 - 1) , 6 - 3
may 10 , 2009#mexico f4 , coatzacoalcos#hard#adil shamasdin#kaden hensel adam hubble#6 - 3 , 6 - 4
may 17 , 2009#mexico f5 , puerto vallarta#hard#adil shamasdin#juan manuel elizondo césar ramírez#6 - 1 , 2 - 6 ,
july 19 , 2009#usa f17 , peoria#clay#milos raonic#matt reid denis zivkovic#6 - 3 , 6 - 4
august 23 , 2009#romania f14 , arad#clay#marius copil#andrei mlendea jiří školoudík#6 - 3 , 6 - 4
september 20 , 2009#italy f28 , porto torres#hard#marcus willis#alessandro giannessi francesco piccari#4 - 6 , 6 - 3 ,
october 31 , 2009#mexico f12 , obregón#hard#nima roshan#adrien bossel julien dubail#6 - 7 , 6 - 3 ,
november 29 , 2009#puebla , mexico#hard#adil shamasdin#guillermo olaso pere riba#7 - 6 (7 - 0) , 6 - 0
april 18 , 2010#león , mexico#hard#santiago gonzález#kaden hensel adam hubble#3 - 6 , 6 - 3 ,
march 20 , 2011#rimouski , canada#hard (i)#treat conrad huey#david rice sean thornley#6 - 0 , 6 - 1
march 28 , 2011#usa f8 , oklahoma#hard#nicholas monroe#carsten ball chris guccione#6 - 4 , 6 - 3
april 4 , 2011#tallahassee , united states#hard#bobby reynolds#go soeda james ward#6 - 2 , 6 - 4
june 26 , 2011#guadalajara , mexico#hard#bobby reynolds#pierre - ludovic duclos ivo klec#6 - 4 , 6 - 7 (6 - 8) ,
july 21 , 2012#granby , canada#hard#philip bester#yuichi ito takuto niki#6 - 1 , 6 - 2
