game#date#team#score#high points#high rebounds#high assists#location attendance#record
19#december 2#new jersey#w 117 - 101 (ot)#dirk nowitzki (24)#erick dampier (11)#jason kidd (10)#izod center 11689#14 - 5
20#december 4#memphis#l 82 - 98 (ot)#jason terry (18)#shawn marion (11)#jason kidd (7)#fedexforum 13020#14 - 6
21#december 5#atlanta#l 75 - 80 (ot)#dirk nowitzki (32)#erick dampier (12)#jason kidd (6)#american airlines center 19550#14 - 7
22#december 8#phoenix#w 102 - 101 (ot)#dirk nowitzki (33)#dirk nowitzki (8)#jason kidd (11)#american airlines center 19857#15 - 7
23#december 11#miami#w 106 - 93 (ot)#dirk nowitzki (25)#erick dampier (17)#jason kidd (11)#american airlines arena 18703#16 - 7
24#december 12#charlotte#w 98 - 97 (ot)#dirk nowitzki (36)#erick dampier (18)#jason kidd (9)#american airlines center 20151#17 - 7
25#december 14#new orleans#w 94 - 90 (ot)#josé juan barea (23)#erick dampier , josh howard (8)#jason kidd (13)#american airlines center 19737#18 - 7
26#december 16#oklahoma city#w 100 - 86 (ot)#dirk nowitzki (35)#dirk nowitzki (11)#jason kidd (9)#ford center 18203#19 - 7
27#december 18#houston#l 108 - 116 (ot)#josé juan barea (23)#erick dampier (14)#jason kidd (10)#american airlines center 19890#19 - 8
28#december 20#cleveland#w 102 - 95 (ot)#tim thomas (22)#erick dampier (10)#jason kidd (11)#american airlines center 20346#20 - 8
29#december 22#portland#l 81 - 85 (ot)#dirk nowitzki (27)#erick dampier (15)#jason kidd (6)#american airlines center 19863#20 - 9
30#december 26#memphis#w 106 - 101 (ot)#jason terry (23)#erick dampier (10)#jason kidd (10)#american airlines center 20195#21 - 9
31#december 27#denver#w 104 - 96 (ot)#drew gooden (19)#dirk nowitzki (11)#jason kidd (9)#pepsi center 19756#22 - 9
