round#pick#overall#name#position#college
1#2#2#billy vessels#halfback#oklahoma
2#1#14#bernie flowers#end#purdue
3#1#26#buck mcphail#fullback#oklahoma
4#1#38#tom catlin#center#oklahoma
5#1#50#jack little#offensive tackle#texas a&m
6#1#62#jim sears#quarterback#usc
7#1#74#bill athey#guard#baylor
8#1#86#jim prewett#tackle#tulsa
9#1#98#bob blair#tight end#tcu
10#1#110#john cole#halfback#arkansas
11#1#122#gene rossi#halfback#cincinnati
12#1#134#kaye vaughn#guard#tulsa
13#1#146#bobby moorhead#halfback#georgia tech
14#1#158#frank continetti#guard#george washington
15#1#170#buddy sutton#halfback#arkansas
16#1#182#jim currin#end#dayton
17#1#194#george rambour#tackle#dartmouth
18#1#206#leroy labat#halfback#lsu
19#1#218#bill powell#halfback#california
20#1#230#pete russo#tackle#indiana
21#1#242#frank kirby#tackle#bucknell
22#1#254#merlin gish#center#kansas
23#1#266#mike houseplan#guard#tulane
24#1#278#monte brethauer#defensive back#oregon
25#1#290#joe szombathy#end#syracuse
26#1#302#scott prescott#center#minnesota
27#1#314#ray graves#halfback#texas a&m
28#1#326#joe sabol#halfback#ucla
29#1#338#jack alessandrini#guard#notre dame
30#1#350#tom roche#tackle#northwestern
