date#venue#score#result#competition
23 july 2006#independence stadium , windhoek , namibia#2 - 1#3 - 2#2006 cosafa cup
6 july 2007#kamuzu stadium , blantyre , malawi#2 - 1#2 - 1#friendly
8 september 2007#addis ababa stadium , addis abeba , ethiopia#1 - 1#3 - 2#2008 africa cup of nations qualification
8 september 2007#addis ababa stadium , addis ababa , ethiopia#2 - 2#3 - 2#2008 africa cup of nations qualification
14 june 2008#sam nujoma stadium , windhoek , namibia#1 - 1#1 - 2#2010 fifa world cup qualification
11 october 2008#sam nujoma stadium , windhoek , namibia#2 - 0#4 - 2#2010 fifa world cup qualification
1 april 2009#saida international stadium , saida , lebanon#1 - 0#1 - 1#friendly
6 june 2009#independence stadium , windhoek , namibia#2 - 0#4 - 0#friendly
4 september 2009#sam nujoma stadium , windhoek , namibia#1 - 0#1 - 1#friendly
3 march 2010#moses mabhida stadium , durban , south africa#1 - 0#1 - 1#friendly
11 november 2011#stade national gouled , djibouti , djibouti#1 - 0#4 - 0#2014 fifa world cup qualification
11 november 2011#stade ational gouled , djibouti , djibouti#3 - 0#4 - 0#2014 fifa world cup qualification
