date#tournament#surface#partner#opponent in the final#score in the final
11 july 2005#usa f17 ( peoria )#clay (outdoor)#alexandre simoni#david martin jeremy wurtzman#6 - 3 , 7 - 6 (7)
6 march 2006#usa f6 ( mcallen , texas )#hard (outdoor)#wesley whitehouse#michel koning steven korteling#6 - 3 , 6 - 4
24 april 2006#mexico city challenger , ( mexico city )#hard (outdoor)#andré ghem#rik de voest glenn weiner#6 - 4 , 0 - 6 ,
15 may 2006#mexico f7 ( guadalajara )#clay (outdoor)#bruno echagaray#eduardo peralta - tello victor romero#6 - 3 , 6 - 3
9 october 2006#mexico f17#hard (outdoor)#raphael durek#miguel gallardo - valles carlos palencia#6 - 2 , 6 - 4
12 february 2007#mexico f2#hard (outdoor)#pierrick ysern#floris kilian boy westerhof#0 - 6 , 7 - 6 (2) ,
5 march 2007#portugal f2#hard (outdoor)#niels desein#murad inoyatov dmitri sitak#6 - 3 , 6 - 4
12 march 2007#portugal f3#hard (outdoor)#franko škugor#luis antonio perez - perez sergio pérez - pérez#6 - 1 , 6 - 0
18 june 2007#ireland f1#carpet (outdoor)#raphael durek#barry king colin o'brien#7 - 5 , 7 - 6 (2)
24 september 2007#spain f36#hard (outdoor)#daniel lustig#miguel ángel lópez jaén sergio pérez - pérez#7 - 5 , 5 - 7 ,
16 june 2008#belarus f2#hard (outdoor)#dmitri sitak#sergei demekhine pavel katliarov#7 - 5 , 6 - 4
28 july 2008#senegal f1#hard (outdoor)#niels desein#benjamin balleret philippe de bonnevie#7 - 5 , 6 - 7 (3) ,
4 august 2008#senegal f2#hard (outdoor)#niels desein#benjamin balleret philippe de bonnevie#6 - 4 , 6 - 4
25 august 2008#italy f28#clay (outdoor)#niels desein#yan bai jun - chao xun#6 - 3 , 6 - 3
24 november 2008#israel f5#hard (outdoor)#amir hadad#sebastian rieschick amir weintraub#6 - 3 , 6 - 4
2 february 2009#ivory coast f1#hard (outdoor)#andreas haider - maurer#andre begemann leonardo tavares#6 - 1 , 6 - 7 (5) ,
19 october 2009#france f19#hard (indoor)#niels desein#fabrice martin adil shamasdin#7 - 6 (8) , 1 - 6 ,
24 april 2010#manta open - trofeo ricardo delgado aray#hard (outdoor)#ryler deheart#martin emmrich andreas siljeström#6 - 4 , 7 - 5
28 june 2010#nielsen pro tennis championship ( winnetka )#hard (outdoor)#ryler deheart#rik de voest somdev devvarman#7 - 6 (4) , 4 - 6 ,
28 august 2010#2010 beijing international challenger ( beijing )#hard (outdoor)#artem sitak#sadik kadir purav raja#7 - 6 (4) , 7 - 6 (5)
2 september 2011#2011 chang - sat bangkok open ( bangkok )#hard (outdoor)#riccardo ghedin#nicholas monroe ludovic walter#6 - 4 , 6 - 4
