date#visitor#score#home#record
november 15#chicago black hawks#1 - 1#boston bruins#0 - 0 - 1
november 17#chicago black hawks#3 - 2#montreal maroons#1 - 0 - 1
november 19#chicago black hawks#2 - 4#toronto maple leafs#1 - 1 - 1
november 23#ottawa senators#2 - 0#chicago black hawks#1 - 2 - 1
november 26#detroit cougars#0 - 0#chicago black hawks#1 - 2 - 2
november 30#montreal canadiens#5 - 2#chicago black hawks#1 - 3 - 2
december 1#chicago black hawks#1 - 3#detroit cougars#1 - 4 - 2
december 3#new york rangers#2 - 4#chicago black hawks#2 - 4 - 2
december 7#new york americans#2 - 1#chicago black hawks#2 - 5 - 2
december 10#boston bruins#2 - 0#chicago black hawks#2 - 6 - 2
december 14#toronto maple leafs#4 - 2#chicago black hawks#2 - 7 - 2
december 17#chicago black hawks#5 - 2#pittsburgh pirates#3 - 7 - 2
december 18#chicago black hawks#0 - 2#new york americans#3 - 8 - 2
december 22#chicago black hawks#2 - 5#montreal canadiens#3 - 9 - 2
december 25#chicago black hawks#0 - 2#new york rangers#3 - 10 - 2
december 28#montreal maroons#4 - 3#chicago black hawks#3 - 11 - 2
january 2#toronto maple leafs#4 - 1#chicago black hawks#3 - 12 - 2
january 4#montreal canadiens#3 - 1#chicago black hawks#3 - 13 - 2
january 8#chicago black hawks#0 - 5#new york rangers#3 - 14 - 2
january 10#chicago black hawks#1 - 3#boston bruins#3 - 15 - 2
january 12#chicago black hawks#0 - 2#pittsburgh pirates#3 - 16 - 2
january 16#pittsburgh pirates#2 - 1#chicago black hawks#3 - 17 - 2
january 18#detroit cougars#0 - 2#chicago black hawks#4 - 17 - 2
january 21#boston bruins#1 - 1#chicago black hawks#4 - 17 - 3
january 24#chicago black hawks#0 - 10#montreal canadiens#4 - 18 - 3
january 26#chicago black hawks#6 - 9#ottawa senators#4 - 19 - 3
january 28#chicago black hawks#1 - 4#toronto maple leafs#4 - 20 - 3
january 29#chicago black hawks#2 - 4#detroit cougars#4 - 21 - 3
february 5#chicago black hawks#6 - 0#new york americans#5 - 21 - 3
february 8#pittsburgh pirates#2 - 1#chicago black hawks#5 - 22 - 3
february 10#montreal maroons#3 - 2#chicago black hawks#5 - 23 - 3
february 12#chicago black hawks#3 - 0#new york rangers#6 - 23 - 3
february 14#chicago black hawks#0 - 1#boston bruins#6 - 24 - 3
february 19#chicago black hawks#2 - 1#detroit cougars#7 - 24 - 3
february 22#ottawa senators#3 - 2#chicago black hawks#7 - 25 - 3
february 25#new york rangers#1 - 0#chicago black hawks#7 - 26 - 3
february 28#new york americans#2 - 1#chicago black hawks#7 - 27 - 3
march 1#chicago black hawks#3 - 6#montreal maroons#7 - 28 - 3
march 3#chicago black hawks#1 - 3#ottawa senators#7 - 29 - 3
march 10#chicago black hawks#2 - 5#pittsburgh pirates#7 - 30 - 3
march 12#pittsburgh pirates#2 - 1#chicago black hawks#7 - 31 - 3
march 15#boston bruins#3 - 1#chicago black hawks#7 - 32 - 3
march 17#detroit cougars#7 - 0#chicago black hawks#7 - 33 - 3
march 21#new york rangers#6 - 1#chicago black hawks#7 - 34 - 3
