team#location#venue#capacity#position in 1998
dnepr - transmash#mogilev#spartak , mogilev#11200#1
bate#borisov#city stadium , borisov#5500#2
belshina#bobruisk#spartak , bobruisk#3550#3
lokomotiv - 96#vitebsk#central , vitebsk#8300#4
gomel#gomel#central , gomel#11800#5
slavia#mozyr#yunost , mozyr#5500#6
torpedo - maz#minsk#torpedo , minsk#5200#7
dinamo minsk#minsk#dinamo , minsk#41040#8
dinamo brest#brest#dinamo , brest#10080#9
neman - belcard#grodno#neman#6300#10
shakhtyor#soligorsk#stroitel#5000#11
torpedo - kadino#mogilev#torpedo , mogilev#3500#12
naftan - devon#novopolotsk#atlant#6500#13
molodechno#molodechno#city stadium , molodechno#5500#14
lida#lida#city stadium , lida#4000#first league , 1
svisloch - krovlya#osipovichi#yunost , osipovichi#4000#first league , 2
