date#tournament#surface#opponent#score
april 28 , 2003#montego bay#hard#juan mónaco#2 - 6 , 7 - 6 (7 - 3) , 6 - 0
september 1 , 2003#montego bay#hard#jacob adaktusson#7 - 6 (7 - 3) , 6 - 2
november 7 , 2005#waikoloa#hard#scott lipsky#6 - 1 , 6 - 1
november 14 , 2005#honolulu#hard#sam querrey#6 - 4 , 6 - 3
march 20 , 2006#little rock#hard#scott oudsema#6 - 2 , 6 - 2
march 27 , 2006#mobile#hard#harsh mankad#2 - 6 , 6 - 3 , 6 - 4
june 19 , 2006#milan#clay#arnaud di pasquale#5 - 7 , 6 - 2 , 7 - 6 (7 - 5)
october 8 , 2007#sacramento#hard#lu yen - hsun#6 - 2 , 6 - 3
january 26 , 2009#carson#hard#scoville jenkins#6 - 4 , 6 - 4
january 31 , 2011#palm coast#clay#nicola ghedin#6 - 2 , 6 - 1
march 7 , 2011#mcallen#hard#gastão elias#6 - 7 (5 - 7) , 6 - 4 , 6 - 1
may 2 , 2011#savannah#hard#donald young#6 - 4 , 6 - 4
july 18 , 2011#lexington#hard#james ward#7 - 5 , 6 - 4
january 29 , 2012#bucaramanga#clay#adrian ungur#6 - 1 , 7 - 6 (7 - 4)
