date#opponents#venue#result#attendance#report 1
27 - aug - 83#wolverhampton wanderers#a#1 - 1#26249#report
31 - aug - 83#norwich city#a#1 - 0#23859#report
03 - sep - 83#nottingham forest#h#1 - 0#31376#report
06 - sep - 83#southampton#h#1 - 1#26331#report
10 - sep - 83#arsenal#a#2 - 0#47896#report
17 - sep - 83#aston villa#h#2 - 1#34246#report
24 - sep - 83#manchester united#a#0 - 1#56121#report
01 - oct - 83#sunderland#h#0 - 1#29534#report
15 - oct - 83#west ham united#a#3 - 1#32555#report
22 - oct - 83#queens park rangers#a#1 - 0#27140#report
29 - oct - 83#luton town#h#6 - 0#31940#report
06 - nov - 83#everton#h#3 - 0#40875#report
12 - nov - 83#tottenham hotspur#a#2 - 2#45032#report
19 - nov - 83#stoke city#h#1 - 0#26529#report
26 - nov - 83#ipswich town#a#1 - 1#23826#report
03 - dec - 83#birmingham city#h#1 - 0#24791#report
10 - dec - 83#coventry city#a#0 - 4#20586#report
17 - dec - 83#notts county#h#5 - 0#22436#report
26 - dec - 83#west bromwich albion#a#2 - 1#25139#report
27 - dec - 83#leicester city#h#2 - 2#33664#report
31 - dec - 83#nottingham forest#a#1 - 0#29692#report
02 - jan - 84#manchester united#h#1 - 1#45122#report
14 - jan - 84#wolverhampton wanderers#h#0 - 1#23325#report
20 - jan - 84#aston villa#a#3 - 1#19566#report
01 - feb - 84#watford#h#3 - 0#20746#report
04 - feb - 84#sunderland#a#0 - 0#25646#report
11 - feb - 84#arsenal#h#2 - 1#34642#report
18 - feb - 84#luton town#a#0 - 0#14877#report
25 - feb - 84#queens park rangers#h#2 - 0#32206#report
03 - mar - 84#everton#a#1 - 1#51245#report
10 - mar - 84#tottenham hotspur#h#3 - 1#36718#report
16 - mar - 84#southampton#a#0 - 2#19698#report
31 - mar - 84#watford#a#2 - 0#21293#report
07 - apr - 84#west ham united#h#6 - 0#38359#report
14 - apr - 84#stoke city#a#0 - 2#24372#report
18 - apr - 84#leicester city#a#3 - 3#26553#report
21 - apr - 84#west bromwich albion#h#3 - 0#35320#report
28 - apr - 84#ipswich town#h#2 - 2#32069#report
05 - may - 84#birmingham city#a#0 - 0#18809#report
07 - may - 84#coventry city#h#5 - 0#33393#report
12 - may - 84#notts county#a#0 - 0#18745#report
15 - may - 84#norwich city#h#1 - 1#38837#report
