date#visitor#score#home#record
december 23#toronto st pats#0 - 3#ottawa senators#1 - 0 - 0
december 27#montreal canadiens#0 - 2#ottawa senators#2 - 0 - 0
january 1#ottawa senators#3 - 2#quebec bulldogs#3 - 0 - 0
january 3#ottawa senators#3 - 4#toronto st pats#3 - 1 - 0
january 7#montreal canadiens#3 - 4#ottawa senators#4 - 1 - 0
january 10#quebec bulldogs#1 - 7#ottawa senators#5 - 1 - 0
january 14#ottawa senators#2 - 1#quebec bulldogs#6 - 1 - 0
january 17#ottawa senators#2 - 3#montreal canadiens#6 - 2 - 0
january 21#quebec bulldogs#1 - 12#ottawa senators#7 - 2 - 0
january 24#ottawa senators#3 - 5#toronto st pats#7 - 3 - 0
january 28#toronto st pats#0 - 7#ottawa senators#8 - 3 - 0
january 31#montreal canadiens#3 - 11#ottawa senators#9 - 3 - 0
february 4#ottawa senators#5 - 0#quebec bulldogs#10 - 3 - 0
february 7#toronto st pats#4 - 3#ottawa senators#10 - 4 - 0
february 11#montreal canadiens#3 - 4#ottawa senators#11 - 4 - 0
february 14#ottawa senators#3 - 2#montreal canadiens#12 - 4 - 0
february 18#quebec bulldogs#3 - 9#ottawa senators#13 - 4 - 0
february 21#ottawa senators#5 - 3#toronto st pats#14 - 4 - 0
february 25#montreal canadiens#3 - 6#ottawa senators#15 - 4 - 0
february 28#ottawa senators#1 - 0#toronto st pats#16 - 4 - 0
march 3#toronto st pats#4 - 7#ottawa senators#17 - 4 - 0
march 6#ottawa senators#4 - 3#montreal canadiens#18 - 4 - 0
march 8#quebec bulldogs#6 - 11#ottawa senators#19 - 4 - 0
march 10#ottawa senators#4 - 10#quebec bulldogs#19 - 5 - 0
