date#episode#performer 1#performer 2#performer 3#performer 4
10 november 1989#1#greg proops#josie lawrence#tony slattery#mike mcshane
17 november 1989#2#archie hahn#josie lawrence#tony slattery#john sessions
24 november 1989#3#ron west#griff rhys - jones#paul merton#john sessions
8 december 1989#4#greg proops#josie lawrence#paul rider#mike mcshane
15 december 1989#5#ryan stiles#sandi toksvig#tony slattery#john sessions
22 december 1989#6#ron west#jimmy mulville#paul merton#john sessions
29 december 1989 (christmas edition)#7#greg proops#josie lawrence#paul merton#sandi toksvig
5 january 1990#8#ryan stiles#josie lawrence#neil mullarkey#mike mcshane
12 january 1990#9#archie hahn#jonathan pryce#paul merton#john sessions
19 january 1990#10#lee simpson#jan ravens#tony slattery#mike mcshane
26 january 1990#11#josie lawrence#arthur smith#sandi toksvig#mike mcshane
9 february 1990#12#mike mcshane#chris langham#sandi toksvig#john sessions
16 february 1990#13#greg proops#josie lawrence#tony slattery#john sessions
23 february 1990#14#ron west#sandi toksvig#tony slattery#rory mcgrath
2 march 1990#15#josie lawrence#paul merton#tony slattery#mike mcshane
9 march 1990#16#compilation 1#compilation 1#compilation 1#compilation 1
16 march 1990#17#compilation 2#compilation 2#compilation 2#compilation 2
