name#-#position#height#weight#year#former school#hometown
ron anderson jr#1#forward#6 - 8#255#rs junior#kansas state / mccallie school#upper marlboro , md
mike burwell#23#guard#6 - 6#210#freshman#south kent school / cardinal mccarrick hs#east brunswick , nj
anthony crater#10#guard#6 - 1#170#sophomore#ohio state university / brewster academy#flint , mi
bj daniels#2#guard#6 - 1#212#sophomore#lincoln hs#tallahassee , fl
jordan dumars#4#guard#6 - 5#225#freshman#detroit country day school#detroit , mi
toarlyn fitzpatrick#32#forward#6 - 8#230#freshman#king hs#tampa , fl
augustus gilchrist#24#forward / center#6 - 10#245#sophomore#maryland / academy#clinton , md
chris howard#3#guard#6 - 3#200#senior#friendly hs#fort washington , md
dominique jones#20#guard#6 - 4#215#junior#lake wales hs#lake wales , fl
ryan kardok#13#guard#6 - 3#188#senior#broward community college / stoneman douglas hs#parkland , fl
justin leemow#5#guard#6 - 1#180#somphomore#mt zion christian academy#brooklyn , ny
mike mercer#33#guard#6 - 5#195#senior#georgia / south gwinnett hs#snellville , ga
shaun noriega#22#guard#6 - 4#195#freshman#north port hs#north port , fl
