date#competition#ground#score#attendance#report
19 sep 2000#1. hnl#poljud#0 - 1#17000#sdhr
3 dec 2000#1. hnl#maksimir#3 - 2#15000#sdhr
14 apr 2001#1. hnl#poljud#3 - 1#32000#sdhr
9 may 2001#cup#poljud#0 - 2#30000#sdhr
13 may 2001#1. hnl#maksimir#1 - 0#25000#sdhr
23 may 2001#cup#maksimir#1 - 0#13000#sdhr
14 oct 2001#1. hnl#maksimir#1 - 2#15000#sdhr
7 apr 2002#1. hnl#poljud#2 - 1#20000#sdhr
1 sep 2002#1. hnl#poljud#1 - 0#35000#sdhr
1 dec 2002#1. hnl#maksimir#2 - 1#18000#sdhr
13 apr 2003#1. hnl#maksimir#0 - 1#20000#sdhr
11 may 2003#1. hnl#poljud#4 - 1#22000#sdhr
20 jul 2003#supercup#maksimir#4 - 1#7000#sdhr
31 aug 2003#1. hnl#maksimir#1 - 0#8000#sdhr
6 dec 2003#1. hnl#poljud#3 - 1#15000#sdhr
3 apr 2004#1. hnl#poljud#0 - 0#25000#sdhr
1 may 2004#1. hnl#maksimir#3 - 1#20000#sdhr
17 jul 2004#supercup#poljud#1 - 0#17000#sportnethr
11 sep 2004#1. hnl#maksimir#3 - 0#15000#sportnethr
5 dec 2004#1. hnl#poljud#1 - 0#25000#sportnethr
11 sep 2005#1. hnl#maksimir#0 - 0#35000#sportnethr
12 feb 2006#1. hnl#poljud#0 - 1#20000#sportnethr
15 apr 2006#1. hnl#poljud#1 - 0#10000#sportnethr
13 may 2006#1. hnl#maksimir#1 - 0#30000#sportnethr
1 oct 2006#1. hnl#poljud#2 - 2#35000#sportnethr
24 feb 2007#1. hnl#maksimir#2 - 1#30000#sportnethr
14 mar 2007#cup#maksimir#1 - 0#15000#sportnethr
4 apr 2007#cup#poljud#2 - 2#25000#sportnethr
19 may 2007#1. hnl#maksimir#3 - 0#35000#sportnethr
7 oct 2007#1. hnl#poljud#1 - 2#18000#sportnethr
8 mar 2008#1. hnl#maksimir#1 - 0#13500#sportnethr
3 may 2008#1. hnl#poljud#1 - 1#10000#sportnethr
7 may 2008#cup#maksimir#3 - 0#15000#sportnethr
14 may 2008#cup#poljud#0 - 0#6000#sportnethr
21 sep 2008#1. hnl#maksimir#0 - 2#8000#sportnethr
22 feb 2009#1. hnl#poljud#2 - 0#38000#sportnethr
13 may 2009#cup#maksimir#3 - 0#20000#sportnethr
28 may 2009#cup#poljud#3 - 0#18000#sportnethr
31 may 2009#1. hnl#poljud#2 - 2#10000#sportnethr
31 oct 2009#1. hnl#poljud#2 - 1#4000#sportnethr
24 mar 2010#cup#maksimir#0 - 0#13000#sportnethr
7 apr 2010#cup#poljud#1 - 0#30000#sportnethr
1 may 2010#1. hnl#maksimir#0 - 0#13000#sportnethr
