ship#tonnage#builder#original operator#fate
friedrich der grosse#gt#ag vulcan#ndl#01922 sunk after fire , 1922
barbarossa#gt#blohm & voss#ndl#01924 scrapped , 1924
königin luise#gt#ag vulcan#ndl#01935 scrapped , 1935
bremen#gt#f schichau#ndl#01929 scrapped , 1929
könig albert#gt#ag vulcan#ndl#01926 scrapped , 1926
hamburg#gt#ag vulcan#hapag#01928 scrapped , 1928
prinzess irene#gt#ag vulcan#ndl#01932 scrapped , 1932
kiautschou#gt#ag vulcan#hapag#01934 scrapped , 1934
moltke#gt#blohm & voss#hapag#01925 scrapped , 1925
blücher#gt#blohm & voss#hapag#01929 scrapped , 1929
