location chernobyl 1 chernobyl 2 chernobyl 3 chernobyl 4 chernobyl 5 ignalina 1 ignalina 2 ignalina 3 kursk 1 kursk 2 kursk 3 kursk 4 kursk 5 kursk 6 leningrad 1 leningrad 2 leningrad 3 leningrad 4 smolensk 1 smolensk 2 smolensk 3 smolensk 4 directorate for construction of kostoma npp (for kostroma 1 and 2) table 31. technology and soviet energy availability - november 1981 - ntis order pb82 - 133455 (for ignalina 4)#reactor type#status#net capacity (mw)#gross capacity (mw)
chernobyl - 1#rbmk - 1000#shut down in 1996#740#800
chernobyl - 2#rbmk - 1000#shut down in 1991#925#1000
chernobyl - 3#rbmk - 1000#shut down in 2000#925#1000
chernobyl - 4#rbmk - 1000#destroyed in the 1986 accident#925#1000
chernobyl - 5#rbmk - 1000#construction cancelled in 1988#950#1000
chernobyl - 6#rbmk - 1000#construction cancelled in 1988#950#1000
ignalina - 1#rbmk - 1500#shut down in 2004#1185#1300
ignalina - 2#rbmk - 1500#shut down in 2009#1185#1300
ignalina - 3#rbmk - 1500#construction cancelled in 1988#1380#1500
ignalina - 4#rbmk - 1500#plan cancelled in 1988#1380#1500
kostroma - 1#rbmk - 1500#construction cancelled in 1980s#1380#1500
kostroma - 2#rbmk - 1500#construction cancelled in 1980s#1380#1500
kursk - 1#rbmk - 1000#operational until 2021#925#1000
kursk - 2#rbmk - 1000#operational until 2024#925#1000
kursk - 3#rbmk - 1000#operational until march 2014#925#1000
kursk - 4#rbmk - 1000#operational until february 2016#925#1000
kursk - 5#mker - 1000#under construction since 1985 (shelved)#925#1000
kursk - 6#rbmk - 1000#construction cancelled in 1993#925#1000
leningrad - 2#rbmk - 1000#operational until 2021#925#1000
leningrad - 3#rbmk - 1000#operational until june 2025#925#1000
leningrad - 4#rbmk - 1000#operational until august 2026#925#1000
smolensk - 1#rbmk - 1000#operational until december 2013#925#1000
smolensk - 2#rbmk - 1000#operational until july 2015#925#1000
smolensk - 3#rbmk - 1000#operational until july 2023#925#1000
