cerclis id#county#listed#construction completed#partially deleted#deleted
ild980607055#adams#08 / 30 / 1990#03 / 31 / 1999#n / a#n / a
ild980996789#alexander#10 / 04 / 1989#09 / 28 / 1999#n / a#01 / 08 / 2001
ild980397079#cumberland#09 / 08 / 1983#09 / 24 / 1992#n / a#n / a
il3210020803#jo daviess#03 / 13 / 1989#n / a#n / a#n / a
ild000802827#lake#09 / 08 / 1983#n / a#n / a#n / a
ild003817137#lake#06 / 10 / 1986#09 / 12 / 1989#n / a#02 / 11 / 1991
ild005443544#lake#09 / 08 / 1983#12 / 31 / 1991#n / a#n / a
ild980500102#lake#03 / 31 / 1989#09 / 23 / 2005#n / a#n / a
ild980605836#lake#02 / 21 / 1990#06 / 29 / 2001#n / a#n / a
ild048843809#madison#03 / 04 / 2010#-#-#-
il0210090049#will#03 / 13 / 1989#09 / 29 / 2008#n / a#n / a
il7213820460#will#07 / 22 / 1987#09 / 10 / 2008#n / a#n / a
ild053219259#winnebago#09 / 08 / 1983#07 / 13 / 1998#n / a#n / a
