pos#driver#starts#finishes#wins#podiums#stage wins#power stage wins#points
1#sébastien loeb#13#11#5#9#65#3#222
2#mikko hirvonen#13#12#2#8#36#3#214
3#sébastien ogier#13#11#5#7#56#4#196
4#jari - matti latvala#13#13#1#8#67#1#172
5#petter solberg#13#10#0#2#30#1#110
6#mads østberg#12#11#0#2#4#0#88
7#matthew wilson#13#11#0#0#0#0#63
8#dani sordo#6#5#0#2#5#0#59
9#henning solberg#12#10#0#1#0#0#59
10#kimi räikkönen#9#6#0#0#0#0#34
11#kris meeke#6#2#0#0#2#1#25
12#dennis kuipers#11#9#0#0#0#0#21
13#federico villagra#7#6#0#0#0#0#20
14#khalid al qassimi#8#8#0#0#0#0#15
15#ott tänak#8#7#0#0#0#0#15
16#juho hänninen#7#7#0#0#0#0#14
17#evgeny novikov#8#5#0#0#0#0#12
18#hayden paddon#5#5#0#0#0#0#10
19#martin prokop#9#9#0#0#0#0#7
20#per - gunnar andersson#3#3#0#0#4#0#6
21#michał kościuszko#6#6#0#0#0#0#6
22#ken block#7#6#0#0#0#0#6
23#armindo araújo#8#4#0#0#0#0#5
24#oleksandr saliuk , jr#5#4#0#0#0#0#4
25#peter van merksteijn , jr#10#4#0#0#0#0#2
26#benito guerra#7#5#0#0#0#0#2
27#pierre campana#2#2#0#0#0#0#2
28#bernardo sousa#8#5#0#0#0#0#1
