year#date#winner#result#loser#location
1960#november 20#philadelphia eagles#17 - 10#new york giants#yankee stadium
1960#november 27#philadelphia eagles#31 - 23#new york giants#franklin field
1961#november 12#new york giants#38 - 21#philadelphia eagles#yankee stadium
1961#december 10#philidalphia eagles#28 - 24#new york giants#franklin field
1962#september 23#new york giants#29 - 13#philadelphia eagles#franklin field
1962#november 18#new york giants#19 - 14#philadelphia eagles#yankee stadium
1963#september 29#new york giants#37 - 14#philadelphia eagles#franklin field
1963#november 10#new york giants#42 - 14#philadelphia eagles#yankee stadium
1964#september 13#philadelphia eagles#38 - 7#new york giants#franklin field
1964#october 18#new york giants#23 - 17#philadelphia eagles#yankee stadium
1965#september 26#new york giants#16 - 14#philadelphia eagles#franklin field
1965#october 17#new york giants#35 - 27#philadelphia eagles#yankee stadium
1966#september 25#philadelphia eagles#35 - 17#new york giants#franklin field
1966#october 23#philadelphia eagles#31 - 3#new york giants#yankee stadium
1967#november 26#new york giants#44 - 7#philadelphia eagles#yankee stadium
1968#september 22#new york giants#34 - 25#philadelphia eagles#franklin field
1968#november 17#new york giants#7 - 6#philadelphia eagles#yankee stadium
1969#october 5#philadelphia eagles#23 - 20#new york giants#yankee stadium
