no in series#no in season#title#directed by#written by#original air date#production code
18#1#the gang finds a dumpster baby#jerry levine#rob mcelhenney & charlie day#september 13 , 2007#ip03001
19#2#the gang gets invincible#fred savage#charlie day & glenn howerton & david hornsby#september 13 , 2007#ip03010
20#3#dennis and dee 's mom is dead#matt shakman#rob mcelhenney & david hornsby#september 20 , 2007#ip03013
21#4#the gang gets held hostage#fred savage#story by : lisa parsons teleplay by : rob mcelhenney#september 20 , 2007#ip03009
22#5#the aluminum monster vs fatty magoo#fred savage#charlie day & glenn howerton#september 27 , 2007#ip03007
23#6#the gang solves the north korea situation#fred savage#charlie day & scott marder & rob rosell#september 27 , 2007#ip03006
24#7#the gang sells out#matt shakman#charlie day & david hornsby#october 4 , 2007#ip03014
27#10#mac is a serial killer#jerry levine#story by : charlie day teleplay by : david hornsby#october 18 , 2007#ip03003
28#11#dennis looks like a registered sex offender#jerry levine#rob mcelhenney#october 25 , 2007#ip03005
29#12#the gang gets whacked (part 1)#matt shakman#glenn howerton & scott marder & rob rosell#november 1 , 2007#ip03011
30#13#the gang gets whacked (part 2)#matt shakman#scott marder & rob rosell#november 1 , 2007#ip03012
31#14#bums : making a mess all over the city#jerry levine#charlie day & david hornsby#november 8 , 2007#ip03004
