position#team#played#drawn#lost#goals for#goals against#goal average 1#points 2
1#runcorn#46#10#7#95#42#2.26#68
2#stafford rangers#46#15#5#81#41#1.98#67
3#scarborough#46#10#10#84#43#1.95#62
4#matlock town#46#9#11#96#63#1.52#61
5#boston united#46#6#13#95#58#1.64#60
6#wigan athletic#46#15#10#81#42#1.93#57
7#altrincham#46#14#12#77#57#1.35#54
8#bangor city#46#12#13#80#70#1.14#54
9#mossley#46#11#14#70#58#1.21#53
10#goole town#46#13#13#58#49#1.18#53
11#northwich victoria#46#17#12#79#59#1.34#51
12#lancaster city#46#9#19#61#70#0.87#45
13#worksop town#46#10#19#63#56#1.13#44
14#gainsborough trinity#46#17#16#58#69#0.84#43
15#macclesfield town#46#12#19#50#64#0.78#42
16#gateshead united#46#7#22#64#63#1.02#41
17#buxton#46#13#22#37#62#0.60#35
18#skelmersdale united#46#10#24#45#74#0.61#34
19#netherfield#46#11#24#55#76#0.72#33
20#morecambe#46#11#24#47#67#0.70#33
21#great harwood#46#7#26#58#86#0.67#33
22#south liverpool#46#9#25#45#78#0.58#33
23#barrow#46#9#25#47#84#0.56#33
24#fleetwood#46#9#34#36#131#0.27#15
