goal#date#score#result#competition
1#7 september 2003#1 - 0#2 - 0#friendly
2#19 november 2003#2 - 1#2 - 1#friendly
3#12 june 2004#1 - 2#2 - 2#wqc
4#4 september 2005#0 - 1#1 - 3#wcq
5#7 september 2005#1 - 0#2 - 0#wqc
6#9 november 2005#0 - 1#3 - 2#friendly
7#11 february 2006#1 - 0#1 - 0#friendly
8#2 september 2006#0 - 1#2 - 2#friendly
9#2 september 2006#2 - 2#2 - 2#friendly
10#24 march 2007#1 - 0#4 - 0#friendly
11#24 march 2007#4 - 0#4 - 0#friendly
12#21 june 2008#1 - 0#3 - 0#wqc
13#20 august 2008#1 - 0#1 - 0#wqc
14#3 june 2009#1 - 0#3 - 1#wcq
15#6 june 2009#1 - 1#2 - 3#wqc
16#27 june 2009#1 - 0#1 - 0#friendly
17#19 july 2009#2 - 0#5 - 1#cgc
18#19 july 2009#4 - 1#5 - 1#cgc
19#10 october 2009#3 - 0#4 - 0#wcq
20#10 october 2009#4 - 0#4 - 0#wcq
21#3 september 2010#2 - 2#2 - 2#friendly
22#26 march 2011#1 - 0#2 - 2#friendly
23#5 june 2011#2 - 0#5 - 0#cgc
24#8 june 2012#1 - 0#2 - 2#wcq
25#12 june 2012#1 - 0#4 - 0#wcq
26#12 june 2012#2 - 0#4 - 0#wcq
27#12 june 2012#3 - 0#4 - 0#wcq
28#16 october 2012#4 - 0#7 - 0#wcq
29#16 october 2012#7 - 0#7 - 0#wcq
30#6 february 2013#1 - 2#2 - 2#wcq
31#15 october 2013#2 - 1#2 - 1#wcq
