title#localized title#creator#years#origin
atashin'chi#아따맘마 , attamamma#eiko kera#2004 - 2008#japan
baby and me#아기와 나 , agiwana#marimo ragawa#1995 - 2002#japan
gakko no ojikan#학교에 가자! , hakgyoe gaja#mimi tajima#2004 - present#japan
gakuen prince#학원왕자 , hagwonwangja#jun yuzuki#2007 - present#japan
hanasekeru seishounen#카시카#natsumi itsuki#1997 - 2000#japan
koucha ōji#홍차왕자#nanpei yamada#1998 - 2004#japan
koucha ōji no himegimi#애장판 홍차왕자 , aejangpan hongchawangja#nanpei yamada#2008 - present#japan
papillon - hana to chō -#빠삐용 , ppappiyon#miwa ueda#2007 - present#japan
penguin revolution#펭귄혁명 , penggwin hyeokmyeong#sakura tsukuba#2005 - 2008#japan
sailor moon#달의 요정 세일러문#naoko takeuchi#1997 - 1999#japan
shanimuni go#just go go! , 저스트 고고!#marimo ragawa#1999 - present#japan
sprout#스프라우트 , 스프라우트#atsuko nanba#2006 - present#japan
