branding#callsign#frequency#power (kw)#station type#location
dzrh#dzrh#666khz#50 kw#originating#metro manila
dzrh laoag#dzmt#990khz#5 kw#relay#laoag
dzrh dagupan#dwdh#1440khz#10 kw#relay#dagupan
dzrh tuguegarao#dwrh#576khz#5 kw#relay#tuguegarao
dzrh isabela#dwrh#828khz#5 kw#relay#santiago , isabela
dzrh lucena#dwsr#1224khz#5 kw#relay#lucena
dzrh palawan#dyph#693khz#10 kw#relay#puerto princesa
dzrh naga#dwmt#981khz#5 kw#relay#naga
dzrh sorsogon#dzzh#1287khz#5 kw#relay#sorsogon
dzrh kalibo#dykx#693khz#1 kw#relay#kalibo , aklan
dzrh iloilo#dydh#1485khz#5 kw#relay#iloilo
dzrh bacolod#dybh#1080khz#5 kw#relay#bacolod
dzrh cebu#dyrh#1395khz#10 kw#relay#cebu
dzrh tacloban#dyth#990khz#5 kw#relay#tacloban
dzrh zamboanga#dxzh#855khz#5 kw#relay#zamboanga
dzrh cagayan de oro#dxkh#972khz#5 kw#relay#cagayan de oro
dzrh davao#dxrf#1260khz#10 kw#relay#davao
dzrh general santos#dxgh#531khz#5 kw#relay#general santos
dzrh bislig#dxrh#1035khz#1 kw#relay#bislig , surigao del sur
