place#name#country#score#to par
1#horton smith#united states#70 + 72 + 70 = 212#- 4
2#billy burke#united states#72 + 71 + 70 = 213#- 3
t3#craig wood#united states#71 + 74 + 69 = 214#- 2
t3#ed dudley#united states#74 + 69 + 71 = 214#- 2
5#paul runyan#united states#74 + 71 + 70 = 215#- 1
t6#walter hagen#united states#71 + 76 + 70 = 217#+ 1
t6#willie macfarlane#scotland#74 + 73 + 70 = 217#+ 1
t8#jimmy hines#united states#70 + 74 + 74 = 218#+ 2
t8#macdonald smith#scotland#74 + 70 + 74 = 218#+ 2
10#al watrous#united states#74 + 74 + 71 = 219#+ 3
