year#date#winner#result#loser#attendance#location
1930#sunday , september 28#green bay packers#7 - 0#chicago bears#10000#green bay
1930#sunday , november 9#green bay packers#13 - 12#chicago bears#22000#chicago
1930#sunday , december 7#chicago bears#21 - 0#green bay packers#20000#chicago
1931#sunday , september 27#green bay packers#7 - 0#chicago bears#13500#green bay
1931#sunday , november 1#green bay packers#6 - 2#chicago bears#30000#chicago
1931#sunday , december 6#chicago bears#7 - 6#green bay packers#18000#chicago
1932#sunday , september 25#green bay packers#0 - 0#chicago bears#13000#green bay
1932#sunday , october 16#green bay packers#2 - 0#chicago bears#18000#chicago
1932#sunday , december 11#chicago bears#9 - 0#green bay packers#5000#chicago
1933#sunday , september 24#chicago bears#14 - 7#green bay packers#12000#green bay
1933#sunday , october 22#chicago bears#10 - 7#green bay packers#21000#chicago
1933#sunday , december 10#chicago bears#7 - 6#green bay packers#7000#chicago
1934#sunday , september 23#chicago bears#24 - 10#green bay packers#13500#green bay
1934#sunday , october 28#chicago bears#27 - 14#green bay packers#18000#chicago
1935#sunday , september 23#green bay packers#7 - 0#chicago bears#13600#green bay
1935#sunday , october 27#green bay packers#17 - 14#chicago bears#29386#chicago
1936#sunday , september 23#chicago bears#30 - 3#green bay packers#14312#green bay
1936#sunday , november 1#green bay packers#21 - 10#chicago bears#31346#chicago
1937#sunday , september 19#chicago bears#14 - 2#green bay packers#16658#green bay
1937#sunday , november 1#green bay packers#24 - 14#chicago bears#44977#chicago
1938#sunday , september 18#chicago bears#2 - 0#green bay packers#15172#green bay
1938#sunday , november 6#green bay packers#24 - 17#chicago bears#40208#chicago
1939#sunday , september 24#green bay packers#21 - 16#chicago bears#19192#green bay
1939#sunday , november 5#chicago bears#24 - 17#chicago bears#40537#chicago
