res#record#opponent#method#event#round#time#location
loss#25 - 12#gerald harris#decision (unanimous)#wsof 4#3#5:00#ontario , california , united states
loss#25 - 11#gunnar nelson#decision (unanimous)#ufc on fuel tv : barao vs mcdonald#3#5:00#london , england , united kingdom
win#25 - 10#justin guthrie#submission (inverted heel hook)#tfc 23#1#1:34#fort riley , kansas , united states
win#24 - 10#leonardo pecanha#ko (punches)#tfc 21#1#1:48#kansas city , kansas , united states
loss#23 - 10#demian maia#decision (unanimous)#ufc 136#3#5:00#houston , texas , united states
loss#23 - 9#brian stann#ko (punches)#ufc 130#2#4:29#las vegas , nevada , united states
win#23 - 8#kazuo misaki#tko (corner stoppage)#world victory road presents : sengoku 14#5#4:31#tokyo , japan
win#22 - 8#mamed khalidov#decision (split)#world victory road presents : sengoku 12#5#5:00#tokyo , japan
loss#21 - 8#mamed khalidov#ko (punches)#world victory road presents : sengoku 11#1#2:45#tokyo , japan
win#21 - 7#kazuo misaki#technical submission (rear - naked choke)#world victory road presents : sengoku no ran 2009#5#3:26#saitama , japan
win#20 - 7#kazuhiro nakamura#ko (punches)#world victory road presents : sengoku 6#3#0:49#saitama , japan
win#19 - 7#siyar bahadurzada#submission (heel hook)#world victory road presents : sengoku 6#1#1:10#saitama , japan
win#18 - 7#logan clark#submission (arm - triangle choke)#world victory road presents : sengoku 5#2#3:55#tokyo , japan
win#17 - 7#yuki sasaki#submission (armbar)#world victory road presents : sengoku 2#3#2:10#tokyo , japan
win#16 - 7#trevor prangley#tko (knee to the body)#strikeforce : four men enter , one man survives#1#2:31#san jose , california , united states
win#15 - 7#sean salmon#ko (flying knee)#strikeforce : four men enter , one man survives#1#0:24#san jose , california , united states
win#14 - 7#jeremy horn#submission (triangle choke)#art of war 3: monson vs rizzo#1#3:02#dallas , texas , united states
win#13 - 7#andrei semenov#tko (punches)#bodog fight : clash of the nations#2#4:48#st petersburg , russia
loss#12 - 7#alan belcher#ko (head kick)#ufc fight night : sanchez vs riggs#3#2:45#san diego , california , united states
loss#12 - 6#chris leben#ko (punch)#ufc fight night 6#2#0:35#las vegas , nevada , united states
win#12 - 5#justin levens#ko (knee and punches)#ufc ultimate fight night 5#1#2:13#las vegas , nevada , united states
win#11 - 5#thomas russell#submission (armbar)#fightfest 3#1#1:59#youngstown , ohio , united states
win#10 - 5#sydney machado#tko (punches)#costa rica : fights 3#2#0:49#costa rica
win#9 - 5#leopoldo serao#tko (punches)#full throttle 5#1#0:43#georgia , united states
loss#8 - 5#joey villaseñor#decision (unanimous)#kotc 58: prime time#3#5:00#san jacinto , california , united states
loss#8 - 4#jordan radev#decision (unanimous)#it 's showtime : amsterdam arena#2#5:00#amsterdam , holland
win#8 - 3#chris liguori#submission (rear - naked choke)#euphoria : usa vs world#1#3:27#atlantic city , new jersey , united states
loss#7 - 3#diego sanchez#decision (unanimous)#kotc 36: unfinished business#3#5:00#san jacinto , california , united states
win#7 - 2#takuya wada#submission (armbar)#absolute fighting championships 7#1#1:52#fort lauderdale , florida , united states
win#6 - 2#john cronk#submission (armbar)#kotc 32: bringing heat#2#0:54#miami , florida , united states
loss#5 - 2#keith wisniewski#ko (punches)#absolute fighting championships 6#3#2:14#fort lauderdale , florida , united states
win#5 - 1#laverne clark#submission (triangle choke)#hardcore fighting championships 2#1#2:17#revere , massachusetts , united states
win#4 - 1#derrick noble#decision (unanimous)#absolute fighting championships 5#2#5:00#fort lauderdale , florida , united states
loss#3 - 1#manny gamburyan#ko (punch)#kotc 27: aftermath#1#0:21#san jacinto , california , united states
win#3 - 0#justin wieman#submission (triangle choke)#absolute fighting championships 4#1#4:11#fort lauderdale , florida , united states
win#2 - 0#jay martin#ko (punches)#hooknshoot : boot camp 1.1#1#0:14#evansville , indiana , united states
win#1 - 0#jose rodriguez#submission (knees)#reality fighting 2#1#1:16#wildwood , new jersey , united states
