year#award show#category#recipient (s)#result
2000#national television awards#most popular actress#debra stephenson#nominated
2000#national television awards#most popular drama#n / a#won
2000#tv quick awards#best loved drama#n / a#won
2001#national television awards#most popular actress#debra stephenson#nominated
2001#national television awards#most popular drama#n / a#won
2001#tv quick awards#best loved drama#n / a#won
2001#tv quick awards#best actress#debra stephenson#won
2002#national television awards#most popular drama#n / a#nominated
2002#tv quick awards#best loved drama#n / a#won
2002#tv quick awards#best actress#claire king#won
2003#national television awards#most popular drama#n / a#nominated
2003#tv quick awards#best loved drama#n / a#won
2003#tv quick awards#best actress#claire king#won
2004#national television awards#most popular drama#n / a#nominated
2004#tv quick awards#best actor#jack ellis#won
2005#national television awards#most popular drama#n / a#nominated
2006#national television awards#most popular drama#n / a#nominated
