club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
brynmawr rfc#22#21#0#1#650#167#90#21#12#1#97
abergavenny rfc#22#19#0#3#678#255#100#31#11#1#88
garndiffaith rfc#22#15#0#7#571#470#82#60#10#2#72
croesyceiliog rfc#22#13#1#8#515#322#76#45#10#3#67
blaina rfc#22#12#1#9#450#363#66#44#6#4#60
pontypool united rfc#22#11#0#11#500#334#60#41#6#5#55
cwmbran rfc#22#10#1#11#369#344#45#45#3#4#49
rhymney rfc#22#9#1#12#409#450#52#63#7#3#48
nelson rfc#22#7#0#15#416#437#59#54#3#5#36
new tredegar rfc#22#6#0#16#342#542#50#77#5#3#32
senghenydd rfc#22#3#1#18#293#749#35#114#1#2#17
pontllanfraith rfc#22#3#1#18#163#923#19#139#0#2#16
