navy#name#pennant#commissioned#home port
royal navy#brecon#m29#1980#hms raleigh
royal navy#ledbury#m30#1981#portsmouth
royal navy#cattistock#m31#1982#portsmouth
royal navy#cottesmore#m32#1983#portsmouth
royal navy#brocklesby#m33#1982#portsmouth
royal navy#middleton#m34#1984#portsmouth
royal navy#dulverton#m35#1983#portsmouth
royal navy#bicester#m36#1988#portsmouth
royal navy#chiddingfold#m37#1984#portsmouth
royal navy#atherstone#m38#1986#portsmouth
royal navy#hurworth#m39#1985#portsmouth
royal navy#berkeley#m40#1986#portsmouth
royal navy#quorn#m41#1989#portsmouth
hellenic navy#europa#m62#2001#salamis
hellenic navy#kallisto#m63#2000#salamis
lithuanian naval force#skalvis#m53#2011#klaipėda
lithuanian naval force#kuršis#m51#2011#klaipėda
