rider#manufacturer#laps#time#grid
simone corsi#aprilia#20#39:59.020#8
gabor talmacsi#aprilia#20#+ 0.019#2
pol espargaro#derbi#20#+ 0.036#4
mike di meglio#derbi#20#+ 0.135#3
bradley smith#aprilia#20#+ 0.178#7
sergio gadea#aprilia#20#+ 0.490#5
nicolas terol#aprilia#20#+ 0.832#9
sandro cortese#aprilia#20#+ 3.865#6
joan olivã#derbi#20#+ 3.928#14
stefan bradl#aprilia#20#+ 5.439#11
steve bonsey#aprilia#20#+ 10.244#13
andrea iannone#aprilia#20#+ 10.447#12
raffaele de rosa#ktm#20#+ 18.366#1
scott redding#aprilia#20#+ 23.201#16
michael ranseder#aprilia#20#+ 24.440#18
takaaki nakagami#aprilia#20#+ 26.631#15
randy krummenacher#ktm#20#+ 30.629#19
efren vazquez#aprilia#20#+ 30.730#25
marc marquez#ktm#20#+ 33.868#23
lorenzo zanetti#ktm#20#+ 36.928#31
pere tutusaus#aprilia#20#+ 49.951#32
lorenzo savadori#aprilia#20#+ 50.038#22
jules cluzel#loncin#20#+ 50.040#24
dominique aegerter#derbi#20#+ 50.052#26
esteve rabat#ktm#20#+ 56.360#20
riccardo moretti#honda#20#+ 1:06.247#35
alexis masbou#loncin#20#+ 1:06.566#38
robin lasser#aprilia#20#+ 1:06.982#33
hugo van den berg#aprilia#20#+ 1:09.266#28
luca vitali#aprilia#20#+ 1:10.551#38
gabriele ferro#honda#20#+ 1:10.567#34
louis rossi#honda#20#+ 1:36.451#37
ferrucio lamborghini#aprilia#20#+ 1:39.883#36
robert muresan#aprilia#18#+ 2 laps#30
danny webb#aprilia#19#accident#17
tomoyoshi koyama#ktm#16#retirement#10
roberto lacalendola#aprilia#11#retirement#29
pablo nieto#ktm#8#retirement#27
stefano bianco#aprilia#2#accident#21
