municipality#number#population#area#density square#part
stockholm#1#889501#188.06#4730#centre , west , south
huddinge#2#101766#131.34#775#southern suburbs ( södermanland )
botkyrka#3#86990#194.83#446#southern suburbs ( södermanland )
salem#4#15979#54.32#294#southern suburbs ( södermanland )
södertälje#5#90257#525.57#172#southern suburbs ( södermanland )
nykvarn#6#9511#153.46#62#southern suburbs ( södermanland )
nynäshamn#7#26670#357.23#75#southern suburbs ( södermanland )
haninge#8#80095#457.50#175#southern suburbs ( södermanland )
tyresö#9#43956#69.48#633#southern suburbs ( södermanland )
nacka#10#93723#95.50#981#southern suburbs ( södermanland )
värmdö#11#39616#442.96#89#northern suburbs ( uppland )
lidingö#12#44742#30.89#1448#northern suburbs ( uppland )
vaxholm#13#11167#57.66#194#northern suburbs ( uppland )
österåker#14#40370#310.75#130#northern suburbs ( uppland )
norrtälje#15#56727#2010.76#28#northern suburbs ( uppland )
vallentuna#16#31480#360.06#87#northern suburbs ( uppland )
sigtuna#17#42841#327.87#131#northern suburbs ( uppland )
upplands - bro#18#24486#237.10#103#northern suburbs ( uppland )
upplands väsby#19#41173#75.37#546#northern suburbs ( uppland )
täby#20#65879#60.62#1087#northern suburbs ( uppland )
sollentuna#21#67512#52.94#1275#northern suburbs ( uppland )
danderyd#22#32067#26.51#1210#northern suburbs ( uppland )
järfälla#23#68835#54.05#1274#northern suburbs ( uppland )
ekerö#24#26254#216.39#121#northern suburbs ( uppland )
sundbyberg#25#41607#8.71#4777#northern suburbs ( uppland )
solna#26#71658#19.38#3698#northern suburbs ( uppland )
total#26#2144862#6519.31#329.00#metropolitan area
