class#part 1#part 2#part 3#part 4#verb meaning
1#rīdan#rād#ridon#riden#to ride
2a#frēosan#frēas#fruron#froren#to freeze
2b#lūcan#lēac#lucon#locen#to lock
3a#bindan#band#bundon#bunden#to bind
3b#weorþan#wearþ#wurdon#worden#to become
4#beran#bær#bǣron#boren#to bear
5#lesan#læs#lǣron#leren#to gather
6#alan#ōl#ōlon#alen#to nourish , to grow
7a#hātan#hēt#hēton#hāten#to call , to be called
7b#hlēapan#hlēop#hlēppon#hlēapen#to leap
7c#healdan#hēold#hēoldon#healden#to hold
7d#rǣdan#rēd#rēdon#rǣden#to advise , to interpret
7e#blōtan#blēot#blēoton#blōten#to sacrifice
