locomotive number#model#type#propulsion#manufacturer
ctn 32#vo - 1000#switcher#diesel - electric#baldwin locomotive works
ctn 46#emd sw900#switcher#diesel - electric#gm electro - motive div
ctn 50#emd sw9#switcher#diesel - electric#gm electro - motive div
ctn 51#emd sw9#switcher#diesel - electric#gm electro - motive div
ctn 1201#emd sw1200#switcher#diesel - electric#gm electro - motive div
ctn 1203#emd sw1200#switcher#diesel - electric#gm electro - motive div
ctn 1204#emd sw1200rs#switcher#diesel - electric#gm electro - motive div
ctn 1307#emd gp7 u#four - axle roadswitcher#diesel - electric#gm electro - motive div
ctn 1364#emd gp7u#four - axle roadswitcher#diesel - electric#gm electro - motive div
ctn 1501#emd sw1500#switcher#diesel - electric#gm electro - motive div
ctn 1502#emd sw1500#switcher#diesel - electric#gm electro - motive div
