res#record#opponent#method#event#round#time#location
loss#20 - 9 - 1#renan barão#tko (spinning back kick & punches)#ufc 165#2#0:35#toronto , ontario , canada
win#20 - 8 - 1#brad pickett#decision (split)#ufc 155#3#5:00#las vegas , nevada , united states
win#19 - 8 - 1#scott jorgensen#ko (punches)#ufc on fx : johnson vs mccall#2#4:10#sunrise , florida , united states
loss#18 - 8 - 1#joseph benavidez#decision (unanimous)#ufc live : hardy vs lytle#3#5:00#milwaukee , wisconsin , united states
loss#18 - 7 - 1#urijah faber#decision (unanimous)#ufc 128#3#5:00#newark , new jersey , united states
win#18 - 6 - 1#ken stone#ko (slam)#wec 53#1#2:11#glendale , arizona , united states
win#17 - 6 - 1#will campuzano#ko (punch to the body)#wec 49#2#4:44#edmonton , alberta , canada
win#16 - 6 - 1#george roop#decision (unanimous)#wec 46#3#5:00#sacramento , california , united states
win#15 - 6 - 1#manny tapia#decision (unanimous)#wec 43#3#5:00#san antonio , texas , united states
loss#14 - 6 - 1#rani yahya#submission (rear - naked choke)#wec 40#1#1:07#chicago , illinois , united states
win#14 - 5 - 1#wade choate#submission (strikes)#c3: domination#1#2:29#hammond , indiana , united states
win#13 - 5 - 1#jason tabor#ko (punches)#total fight challenge 11#2#4:42#hammond , indiana , united states
loss#12 - 5 - 1#chase beebe#decision (unanimous)#wec 26#5#5:00#las vegas , nevada , united states
win#12 - 4 - 1#dan swift#decision (unanimous)#total fight challenge 7#2#5:00#hammond , indiana , united states
win#11 - 4 - 1#antonio banuelos#ko (head kick and punches)#wec 20#1#2:36#lemoore , california , united states
win#10 - 4 - 1#kurt deeron#tko#duneland classic 3#2#2:26#portage , indiana , united states
win#9 - 4 - 1#tim norman#submission (rear - naked choke)#total fight challenge 5#1#2:40#hammond , indiana , united states
win#8 - 4 - 1#justin hamm#tko#ecf : beatdown at the fairgrounds 5#2#4:55#indianapolis , indiana , united states
win#7 - 4 - 1#christian nielson#decision#courage fighting championships 4#n / a#n / a#lincoln , illinois , united states
win#6 - 4 - 1#john hosman#submission (rear naked choke)#ihc 9: purgatory#1#3:18#hammond , indiana , united states
win#5 - 4 - 1#steve hallock#tko (punches)#total fight challenge 4#2#4:40#hammond , indiana , united states
win#4 - 4 - 1#chad washburn#submission (choke)#duneland classic 2#2#n / a#portage , indiana , united states
loss#3 - 4 - 1#brandon carlson#tko (injury)#xkk : xtreme cage combat#n / a#n / a#curtiss , wisconsin , united states
loss#3 - 3 - 1#jim bruketta#submission (rear naked choke)#total martial arts challenge 2#1#n / a#hammond , indiana , united states
win#3 - 2 - 1#tim panicucci#tko (punches)#freestyle combat challenge 14#1#4:56#racine , wisconsin , united states
win#2 - 2 - 1#omar choudhury#ko (knee)#freestyle combat challenge 13#2#2:25#racine , wisconsin , united states
loss#1 - 2 - 1#stonnie dennis#submission (heel hook)#hooknshoot : hooknshoot#1#1:53#evansville , indiana , united states
loss#1 - 1 - 1#mustafa hussaini#submission (armbar)#extreme challenge 51#2#1:21#st charles , illinois , united states
draw#1 - 0 - 1#mustafa hussaini#draw#shooto : midwest fighting#2#5:00#hammond , indiana , united states
win#1 - 0#joel cleverly#submission#maximum combat 6#1#3:10#fort wayne , indiana , united states
