rider#manufacturer#laps#time#grid
simone corsi#aprilia#23#40:56.168#1
joan olivé#derbi#23#+ 0.299#6
nicolás terol#aprilia#23#+ 6.355#3
steve bonsey#aprilia#23#+ 14.973#2
danny webb#aprilia#23#+ 15.532#4
gabor talmacsi#aprilia#23#+ 15.868#9
mike di meglio#derbi#23#+ 15.875#8
stefan bradl#aprilia#23#+ 17.887#7
sergio gadea#aprilia#23#+ 18.123#5
sandro cortese#aprilia#23#+ 22.613#20
andrea iannone#aprilia#23#+ 27.490#12
dominique aegerter#derbi#23#+ 27.544#19
pol espargaro#derbi#23#+ 28.370#21
michael ranseder#aprilia#23#+ 28.417#22
efren vazquez#aprilia#23#+ 32.713#15
tomoyoshi koyama#ktm#23#+ 34.002#11
stefano bianco#aprilia#23#+ 47.698#17
marc márquez#ktm#23#+ 51.637#26
takaaki nakagami#aprilia#23#+ 51.679#24
alexis masbou#loncin#23#+ 51.717#25
scott redding#aprilia#23#+ 1:07.908#10
pere tutusaus#aprilia#23#+ 1:15.894#23
dino lombardi#aprilia#23#+ 1:19.975#33
robert muresan#aprilia#23#+ 1:39.194#30
cyril carrillo#honda#23#+ 1:39.218#34
axel pons#aprilia#23#+ 1:43.956#32
ivan maestro#aprilia#22#+ 1 lap#31
karel pešek#aprilia#22#+ 1 lap#36
bradley smith#aprilia#12#accident#13
lorenzo zanetti#ktm#12#retirement#28
pablo nieto#ktm#11#retirement#14
jules cluzel#loncin#8#retirement#27
esteve rabat#ktm#7#retirement#18
raffaele de rosa#ktm#6#accident#16
hugo van den berg#aprilia#0#accident#29
