name#date of birth#height#weight#spike#block
lloy ball#17.02.1972#203#95#351#316
erik sullivan#09.08.1972#193#86#340#320
phillip eatherton#02.01.1974#206#101#356#335
donald suxho#21.02.1976#196#98#337#319
william priddy#01.10.1977#196#89#353#330
ryan millar#22.01.1978#204#98#354#326
riley salmon#02.07.1976#197#89#345#331
brook billings#30.04.1980#196#95#351#331
thomas hoff#09.06.1973#198#94#353#333
clayton stanley#20.01.1978#205#104#357#332
kevin barnett#14.05.1974#198#94#353#340
gabriel gardner#18.03.1976#209#103#353#335
