name#nationality#1.85#1.93#height
tia hellebaut#belgium#o#o#2.05
blanka vlašić#croatia#o#o#2.05
anna chicherova#russia#o#o#2.03
yelena slesarenko#russia#o#xo#2.01
vita palamar#ukraine#o#o#1.99
chaunte howard#united states#o#xo#1.99
ariane friedrich#germany#o#o#1.96
ruth beitia#spain#o#o#1.96
emma green#sweden#o#o#1.96
marina aitova#kazakhstan#o#o#1.93
antonietta di martino#italy#o#o#1.93
iva straková#czech republic#o#xxo#1.93
vita styopina#ukraine#o#xxo#1.93
svetlana shkolina#russia#o#xxo#1.93
romana dubnová#czech republic#o#x -#1.89
