couple#score#style#music#result
marlee & fabian#21 (7 , 7 , 7)#jive#you may be right - billy joel#safe
steve & anna#21 (7 , 7 , 7)#tango#jalousie-alfred hause 's tango orchestra#eliminated
cristián & cheryl#25 (8 , 8 , 9)#jive#don't stop me now - queen#safe
mario & karina#21 (7 , 6 , 8)#tango#el tango de roxanne- moulin rouge! soundtrack#last to be called safe
shannon & derek#24 (8 , 8 , 8)#jive#goody two shoes - adam ant#safe
adam & julianne#21 (7 , 7 , 7)#tango#i can't tell a waltz from a tango - alma cogan#safe
marissa & tony#19 (6 , 7 , 6)#jive#girlfriend - avril lavigne#safe
priscilla & louis#26 (8 , 9 , 9)#tango#el choclo - lalo schifrin#safe
jason & edyta#23 (8 , 7 , 8)#jive#i got a woman - ray charles#safe
kristi & mark#27 (9 , 9 , 9)#tango#rio - duran duran#safe
