date#time#score#set 1#set 2#set 3#total#report
july 07#10:00#0 - 3#19 - 25#17 - 25#12 - 25#48 - 75#p2 p3
july 07#15:00#3 - 0#27 - 25#25 - 16#25 - 17#77 - 58#p2 p3
july 07#18:30#1 - 3#23 - 25#16 - 25#25 - 22#81 - 97#p2 p3
july 08#10:00#3 - 2#25 - 20#21 - 25#17 - 25#103 - 97#p2 p3
july 08#16:00#3 - 2#20 - 25#17 - 25#25 - 22#108 - 112#p2 p3
july 08#18:30#0 - 3#20 - 25#19 - 25#16 - 25#55 - 75#p2 p3
july 09#10:00#3 - 2#24 - 26#25 - 19#25 - 16#110 - 98#p2 p3
july 09#16:00#3 - 2#23 - 25#25 - 17#21 - 25#109 - 103#p2 p3
july 09#18:30#3 - 0#25 - 22#25 - 16#25 - 13#75 - 51#p2 p3
july 10#10:00#1 - 3#22 - 25#25 - 21#18 - 25#94 - 102#p2 p3
july 10#16:00#3 - 2#20 - 25#25 - 20#25 - 12#103 - 100#p2 p3
july 10#18:30#0 - 3#19 - 25#22 - 25#20 - 25#61 - 75#p2 p3
july 11#10:00#3 - 2#17 - 25#25 - 14#27 - 29#113 - 102#p2 p3
july 11#16:00#3 - 1#20 - 25#25 - 19#25 - 18#97 - 87#p2 p3
july 11#18:30#3 - 0#25 - 15#25 - 16#25 - 14#75 - 45#p2 p3
