heat#lane#name#nationality#time
6#4#susie o'neill#australia#1:59.14
4#2#helene muller#south africa#1:59.89
5#4#claudia poll#costa rica#2:00.11
6#5#lindsay benko#united states#2:00.13
4#4#camelia potec#romania#2:00.18
6#6#kerstin kielgass#germany#2:00.25
5#5#franziska van almsick#germany#2:00.37
4#5#martina moravcová#slovakia#2:00.46
5#6#nadezhda chemezova#russia#2:00.47
4#3#natalya baranovskaya#belarus#2:00.58
6#1#carla geurts#netherlands#2:00.60
6#3#wang luna#china#2:00.89
5#3#giaan rooney#australia#2:00.99
4#8#mandy leach#zimbabwe#2:01.05
5#7#rada owen#united states#2:01.10
4#1#sara parise#italy#2:01.31
5#2#yang yu#china#2:01.34
6#2#jessica deglau#canada#2:01.42
4#7#karen pickering#great britain#2:01.42
4#6#solenne figuès#france#2:01.46
3#1#rania elwani#egypt#2:01.93
5#1#nina van koeckhoven#belgium#2:02.15
6#8#laura nicholls#canada#2:02.69
5#8#laura roca#spain#2:03.37
3#2#zoi dimoschaki#greece#2:04.06
3#5#olena lapunova#ukraine#2:04.39
2#5#lára hrund bjargardóttir#iceland#2:05.22
3#4#chantal gibney#ireland#2:05.24
2#6#vesna stojanovska#macedonia#2:05.58
3#8#pilin tachakittiranan#thailand#2:05.88
3#3#elina partõka#estonia#2:05.90
3#6#tsai shu - min#chinese taipei#2:06.12
3#7#roh joo - hee#south korea#2:07.21
2#7#ivanka moralieva#bulgaria#2:07.61
2#3#anna korshikova#kyrgyzstan#2:08.08
2#2#petra banović#croatia#2:08.30
1#4#nisha millet#india#2:08.89
1#5#pamela vásquez#honduras#2:15.83
1#3#marella mamoun#syria#2:18.78
2#4#florencia szigeti#argentina#dsq
6#7#karen legg#great britain#dns
