tie no#home team#score#away team#date
1#blackpool#0 - 0#queens park rangers#23 january 1982
replay#queens park rangers#5 - 1#blackpool#26 january 1982
2#bristol city#0 - 1#aston villa#23 january 1982
3#watford#2 - 0#west ham united#23 january 1982
4#gillingham#0 - 1#west bromwich albion#23 january 1982
5#sunderland#0 - 3#liverpool#23 january 1982
6#luton town#0 - 3#ipswich town#23 january 1982
7#shrewsbury town#1 - 0#burnley#23 january 1982
8#newcastle united#1 - 2#grimsby town#23 january 1982
9#tottenham hotspur#1 - 0#leeds united#23 january 1982
10#manchester city#1 - 3#coventry city#23 january 1982
11#brighton & hove albion#0 - 3#oxford united#23 january 1982
12#norwich city#2 - 1#doncaster rovers#23 january 1982
13#crystal palace#1 - 0#bolton wanderers#23 january 1982
14#chelsea#0 - 0#wrexham#23 january 1982
replay#wrexham#1 - 1#chelsea#26 january 1982
replay#wrexham#1 - 2#chelsea#1 february 1982
15#huddersfield town#1 - 1#orient#26 january 1982
replay#orient#2 - 0#huddersfield town#1 february 1982
16#hereford united#0 - 1#leicester city#23 january 1982
