rank#name#nation#placings#figures#free#total
1#jeannette altwegg#united kingdom#8#114.73#77.99#192.72
2#jacqueline du bief#france#14#106.67#82.00#188.67
3#sonya klopfer#united states#23#104.90#80.79#185.69
4#suzanne morrow#canada#29#105.67#78.96#184.63
5#barbara watt#united kingdom#42#104.67#74.58#179.25
6#tenley albright#united states#43#99.25#79.81#179.06
7#andra mclauchlin#united states#47#100.43#77.87#178.30
8#margaret anne graham#united states#53#100.10#76.89#176.99
9#valda osborn#united kingdom#56#98.03#76.41#174.44
10#gundi busch#west germany#83#88.67#76.28#164.95
11#frances dorsey#united states#85#91.70#73.12#164.82
12#helga dudzinski#west germany#89#87.62#75.31#162.93
13#elizabeth hiscock#canada#89#91.88#70.93#162.81
14#erika kraft#west germany#87#88.63#74.70#163.33
15#susi wirz#switzerland#94#91.47#69.59#161.06
16#lotte schwenk#austria#116#84.82#66.92#151.74
17#yolande jobin#switzerland#118#85.88#64.00#149.88
18#ghislaine kopf#switzerland#129#85.70#59.98#145.68
19#yvonne sugden#united kingdom#131#80.30#65.21#145.51
20#inge jell#west germany#141#74.85#62.05#136.90
21#etsuko inada#japan#144#81.29#54.02#135.31
22#alida elisabeth stoppelman#netherlands#150#77.56#53.70#131.26
23#grete dunst#austria#161#70.45#47.33#117.78
