pick#player#team#position#hometown / school
27#mike zimmerman#pittsburgh pirates#rhp#university of south alabama
28#gabe white#montreal expos#rhp#sebring , florida
29#midre cummings#minnesota twins#of#miami , florida
30#paul ellis#st louis cardinals#c#university of california , los angeles
31#brian williams#houston astros#rhp#university of south carolina
32#scott sanders#san diego padres#rhp#nicholls state university
33#marcus jensen#san francisco giants#c#oakland , california
34#dave zancanaro#oakland athletics#lhp#university of california , los angeles
35#stan spencer#montreal expos#rhp#stanford university
36#kirk dressendorfer#oakland athletics#rhp#university of texas at austin
37#ben van ryn#montreal expos#lhp#kendallville , indiana
38#tony manahan#seattle mariners#ss#arizona state university
39#samuel hence#cleveland indians#of#wiggins , mississippi
40#stan robertson#montreal expos#of#plainview , texas
