year#date#winner#result#loser#location
2000#september 10#new york giants#33 - 18#philadelphia eagles#veterans stadium
2000#october 29#new york giants#24 - 7#philadelphia eagles#giants stadium
2001#january 7#new york giants#20 - 10#philadelphia eagles#giants stadium
2001#october 22#philadelphia eagles#10 - 9#new york giants#giants stadium
2001#december 30#philadelphia eagles#24 - 21#new york giants#veterans stadium
2002#october 28#philadelphia eagles#17 - 3#new york giants#veterans stadium
2002#december 28#new york giants#10 - 7#philadelphia eagles#giants stadium
2003#october 19#philadelphia eagles#14 - 10#new york giants#giants stadium
2003#november 16#philadelphia eagles#28 - 10#new york giants#lincoln financial field
2004#september 12#philadelphia eagles#31 - 17#new york giants#lincoln financial field
2004#november 28#philadelphia eagles#27 - 6#new york giants#giants stadium
2005#november 20#new york giants#27 - 17#philadelphia eagles#giants stadium
2005#december 11#new york giants#26 - 23 (ot)#philadelphia eagles#lincoln financial field
2006#september 17#new york giants#30 - 24 (ot)#philadelphia eagles#lincoln financial field
2006#december 17#philadelphia eagles#36 - 22#new york giants#giants stadium
2007#january 7#philadelphia eagles#23 - 20#new york giants#lincoln financial field
2007#september 30#new york giants#16 - 3#philadelphia eagles#giants stadium
2007#december 9#new york giants#16 - 13#philadelphia eagles#lincoln financial field
2008#november 9#new york giants#36 - 31#philadelphia eagles#lincoln financial field
2008#december 7#philadelphia eagles#20 - 14#new york giants#giants stadium
2009#january 11#philadelphia eagles#23 - 11#new york giants#giants stadium
2009#november 1#philadelphia eagles#40 - 17#new york giants#lincoln financial field
2009#december 13#philadelphia eagles#45 - 38#new york giants#giants stadium
