country#amateur era#open era#all - time#first title#last title
united states (usa)#17#24#41#1926#2013
australia (aus)#26#13#39#1935#2000
france (fra)#20#2#22#1925#1984
sweden (swe)#1#6#7#1948#2006
netherlands (ned)#0#6#6#1973#2002
india (ind)#0#5#5#1999#2009
south africa (rsa)#2#2#4#1947#1972
spain (esp)#1#3#4#1963#1990
belarus (blr)#0#4#4#2005#2012
canada (can)#0#4#4#2007#2012
switzerland (sui)#0#3#3#1981#1992
russia (rus)#0#3#3#1996#2002
czech republic (cze)#0#3#3#1996#2009
great britain (gbr)#2#0#2#1933#1933
germany (ger)#2#0#2#1937#1937
czechoslovakia (tch)#1#1#2#1948#1986
italy (ita)#2#0#2#1959#1959
romania (rou)#0#2#2#1970#1970
mexico (mex)#0#2#2#1975#1977
belgium (bel)#0#2#2#2004#2004
new zealand (nzl)#0#1#1#1974#1974
hungary (hun)#0#1#1#1981#1981
ecuador (ecu)#0#1#1#1988#1988
zimbabwe (zim)#0#1#1#1994#1994
bahamas (bah)#0#1#1#2007#2007
peru (per)#0#1#1#2008#2008
uruguay (uru)#0#1#1#2008#2008
serbia (srb)#0#1#1#2010#2010
