year#men 's singles#women 's singles#men 's doubles#women 's doubles#mixed doubles
2012#anand pawar#sayaka takahashi#takeshi kamura keigo sonoda#naoko fukuman kurumi yonao#marcus ellis gabrielle white
2011#rajiv ouseph#judith meulendijks#vladimir ivanov ivan sozonov#emelie lennartsson emma wengberg#kim astrup sorensen line kjaersfeldt
2009#marc zwiebler#susan egelstaff#mads conrad - petersen mads pieler kolding#valeria sorokina nina vislova#alexander nikolaenko valeria sorokina
2008#rajiv ouseph#elizabeth cann#richard eidestedt andrew ellis#mariana agathangelou jillie cooper#michael fuchs annekatrin lillie
2007#kenichi tago#kanako yonekura#robert blair david lindley#nina vislova valeria sorokina#robert blair imogen bankier
2006#ville lång#ella karachkova#imanuel hirschfeld imam sodikin#marina yakusheva elena shimko#vitaly durkin valerya sorokina
2005#przemysław wacha#ella karachkova#imam sodikin irawan andi tandaputra#valeri sorokina nina vislova#kristian roebuck jenny wallwork
2004#arvind bhat#yuan wemyss#joakim hansson frederik bergström#kamila augustyn nadiezda kostiuczyk#frederik bergström johanna persson
2003#björn joppien#xu huaiwen#michał łogosz robert mateusiak#kumiko ogura reiko shiota#simon archer donna kellogg
2002#antti viitikko#yuki shimada#jesper christensen jesper larsen#kirsteen mcewan yuan wemyss#robert blair natalie munt
2001#irwansyah#christina sorensen#tommy sorensen jesper thomsen#sandra watt yuan wemyss#robert blair natalie munt
