place#player#country#score#to par#money
t1#curtis strange#united states#70 + 67 + 69 + 72 = 278#- 6#playoff
t1#nick faldo#england#72 + 67 + 68 + 71 = 278#- 6#playoff
t3#mark o'meara#united states#71 + 72 + 66 + 71 = 280#- 4#41370
t3#steve pate#united states#72 + 69 + 72 + 67 = 280#- 4#41370
t3#d a weibring#united states#71 + 69 + 68 + 72 = 280#- 4#41370
t6#paul azinger#united states#69 + 70 + 76 + 66 = 281#- 3#25414
t6#scott simpson#united states#69 + 66 + 72 + 74 = 281#- 3#25414
t8#bob gilder#united states#68 + 69 + 70 + 75 = 282#- 2#20903
t8#fuzzy zoeller#united states#73 + 72 + 71 + 66 = 282#- 2#20903
t10#fred couples#united states#72 + 67 + 71 + 73 = 283#- 1#17870
t10#payne stewart#united states#73 + 73 + 70 + 67 = 283#- 1#17870
