ngc number#object type#constellation#right ascension ( j2000 )#declination ( j2000 )
2129#open cluster#gemini#06h01 m06s# degree19′20″
2146#spiral galaxy#camelopardalis#06h18 m37.5s# degree21′21″
2158#open cluster#gemini#06h07 m25s# degree06′
2168#open cluster#gemini#06h09 m# degree21′
2169#open cluster#orion#06h08 m32.5s# degree57′57″
2170#diffuse nebula#monoceros#06h07 m48s# degree23′
2171#open cluster#mensa#05h58 m26.2s# degree39′15″
2172#open cluster#dorado#06h00 m05s# degree38′
2173#globular cluster#mensa#05h57 m39.7s# degree58′41″
2174#diffuse nebula#orion#06h10 m# degree30′
2175#open cluster#orion#06h10 m# degree30′
2194#open cluster#orion#06h13 m42.4s# degree48′06″
