res#record#opponent#method#event#round#location
win#12 - 8#amr wahman#tko (punches)#sfl 4#1#mumbai , india
win#11 - 8#quinton arendse#ko (punches)#sfl 3#1#new delhi , delhi india
loss#10 - 8#joachim hansen#submission (armbar)#dream5#1#osaka - jo hall , japan
loss#10 - 7#tatsuya kawajiri#decision (unanimous)#dream1#2#saitama , japan
win#10 - 6#hideo tokoro#tko (punches)#hero 's 9#1#yokohama , japan
loss#9 - 6#kazuyuki miyata#submission (guillotine choke)#hero 's 8#1#nagoya , japan
loss#9 - 5#rodrigo damm#submission (rear naked choke)#bodogfight - st petersburg#2#st petersburg , russia
loss#9 - 4#caol uno#submission (rear naked choke)#hero 's 6#2#tokyo , japan
win#9 - 3#hideo tokoro#ko (knee)#hero 's 5#1#tokyo , japan
loss#8 - 3#daisuke sugie#submission (triangle choke)#shooto - gig central 8#1#nagoya , japan
win#8 - 2#harris sarmiento#submission (rear naked choke)#sb 39: destiny#3#hawaii , united states
loss#7 - 2#fabio holanda#submission (kimura)#tko major league mma#1#quebec , canada
win#7 - 1#dave rivas#submission (rear naked choke)#pxc 2: chaos#2#guam
win#6 - 1#donald ouimet#submission (rear naked choke)#ucc 12: adrenaline#1#quebec , canada
win#5 - 1#kevin dolan#tko (strikes)#mixed fighting championship#1#alberta , canada
win#4 - 1#dave scholten#submission (rear naked choke)#world freestyle fighting 3#1#vancouver , british columbia , canada
loss#3 - 1#yves edwards#submission (heel hook)#shogun 1#2#hawaii , united states
win#3 - 0#trevor michaelis#submission (rear naked choke)#ufcf - everett extreme challenge 4#1#everett , washington , united states
win#2 - 0#dan shenk#submission (rear naked choke)#western freestyle championships#1#british columbia , canada
win#1 - 0#jr wallace#decision (unanimous)#western canada 's toughest#3#vernon , british columbia , canada
