lp#city#population#area (km 2 )#current voivodeship
2#kraków#756 441#326 , 80#lesser poland voivodeship
9#lublin#351 345#147 , 45#lublin voivodeship
13#częstochowa#241 449#159 , 71#silesian voivodeship
14#radom#224 501#111 , 80#masovian voivodeship
15#sosnowiec#221 775#91 , 06#silesian voivodeship
17#kielce#205 655#109 , 65#swietokrzyskie voivodeship
22#bielsko - biała#175 476#124 , 51#silesian voivodeship
27#dąbrowa górnicza#128 560#188 , 73#silesian voivodeship
35#tarnów#115 769#72 , 38#lesser poland voivodeship
42#jaworzno#95 383#152 , 67#silesian voivodeship
45#nowy sącz#84 492#57 , 58#lesser poland voivodeship
48#siedlce#77 102#32 , 00#masovian voivodeship
53#ostrowiec świętokrzyski#72 888#46 , 43#swietokrzyskie voivodeship
66#stalowa wola#64 753#82 , 52#subcarpathian voivodeship
71#mielec#60 979#46 , 89#subcarpathian voivodeship
76#będzin#58 559#37 , 37#silesian voivodeship
84#starachowice#52 430#31 , 82#swietokrzyskie voivodeship
85#zawiercie#52 290#85 , 25#silesian voivodeship
87#tarnobrzeg#49 753#85 , 39#subcarpathian voivodeship
88#puławy#49 223#50 , 49#lublin voivodeship
92#skarżysko - kamienna#48 308#64 , 39#swietokrzyskie voivodeship
97#dębica#46 693#34 , 02#subcarpathian voivodeship
