year#home#score#away#date#venue
1989#scotland#37 - 21#ireland#4 march#murrayfield , edinburgh
1990#ireland#10 - 13#scotland#3 february#lansdowne road , dublin
1991#scotland#28 - 25#ireland#16 march#murrayfield , edinburgh
1992#ireland#10 - 18#scotland#15 february#lansdowne road , dublin
1993#scotland#15 - 3#ireland#16 january#murrayfield , edinburgh
1994#ireland#6 - 6#scotland#5 march#lansdowne road , dublin
1995#scotland#26 - 13#ireland#4 february#murrayfield , edinburgh
1996#ireland#10 - 16#scotland#20 january#lansdowne road , dublin
1997#scotland#38 - 10#ireland#1 march#murrayfield , edinburgh
1998#ireland#16 - 17#scotland#7 february#lansdowne road , dublin
1999#scotland#30 - 13#ireland#20 march#murrayfield , edinburgh
2000#ireland#44 - 22#scotland#19 february#lansdowne road , dublin
2001#scotland#32 - 10#ireland#22 september#murrayfield , edinburgh
2002#ireland#43 - 22#scotland#2 march#lansdowne road , dublin
2003#scotland#6 - 36#ireland#16 february#murrayfield , edinburgh
2004#ireland#37 - 16#scotland#27 march#lansdowne road , dublin
2005#scotland#13 - 40#ireland#12 february#murrayfield , edinburgh
2006#ireland#15 - 9#scotland#11 march#lansdowne road , dublin
2007#scotland#18 - 19#ireland#10 march#murrayfield , edinburgh
2008#ireland#34 - 13#scotland#9 march#croke park , dublin
2009#scotland#15 - 22#ireland#14 march#murrayfield , edinburgh
2010#ireland#20 - 23#scotland#20 march#croke park , dublin
2011#scotland#18 - 21#ireland#27 february#murrayfield , edinburgh
2012#ireland#32 - 14#scotland#10 march#aviva stadium , dublin
2013#scotland#12 - 8#ireland#24 february#murrayfield , edinburgh
