player#height#position#year born#current club
sandi čebular#1.94#guard#1986#unattached
jaka lakovič#1.86#guard#1978#axa fc barcelona
aleksandar ćapin#1.86#guard#1982#whirlpool varese
goran dragić#1.88#guard#1986#tau cerámica
rasho nesterovič#2.14#center#1976#toronto raptors
matjaž smodiš#2.05#forward#1979#cska moscow
uroš slokar#2.09#center#1983#triumph lyubertsy
jaka klobučar#1.94#guard#1987#geoplin slovan
goran jagodnik#2.02#forward#1974#hemofarm
domen lorbek#1.96#guard#1985#mmt estudiantes
gašper vidmar#2.08#center#1987#fenerbahçe ülker
erazem lorbek#2.09#center#1984#lottomatica roma
