date#time#big east team#sec team#location#television#attendance#winner#challenge leader
thurs , nov 29#7:00 pm#notre dame#8 kentucky#edmund p joyce center south bend , in#espn2#9149#notre dame , 64 - 50#big east (1 - 0)
thurs , nov 29#7:30 pm#st john 's#south carolina#carnesecca arena queens , ny#espnu#4902#st john 's , 89 - 65#big east (2 - 0)
thurs , nov 29#9:00 pm#marquette#7 florida#o'connell center gainesville , fl#espn2#10245#florida , 82 - 49#big east (2 - 1)
thurs , nov 29#9:30 pm#seton hall#lsu#pete maravich assembly center baton rouge , la#espnu#7295#lsu , 72 - 67#tied (2 - 2)
fri , nov 30#6:30 pm#20 georgetown#tennessee#verizon center washington , dc#espn#13656#georgetown , 37 - 36#big east (3 - 2)
fri , nov 30#7:00 pm#south florida#georgia#usf sun dome tampa , fl#espnu#5167#south florida , 64 - 53#big east (4 - 2)
fri , nov 30#8:30 pm#6 syracuse#arkansas#bud walton arena fayetteville , ar#espn#19259#syracuse , 91 - 82#big east (5 - 2)
fri , nov 30#9:00 pm#depaul#auburn#auburn arena auburn , al#espnu#5827#depaul , 80 - 76#big east (6 - 2)
sat , dec 1#12:00 pm#providence#mississippi state#dunkin' donuts center providence , ri#espnu#6156#providence , 73 - 63#big east (7 - 2)
sat , dec 1#2:00 pm#rutgers#ole miss#tad smith coliseum university , ms#espnu#4277#ole miss , 80 - 67#big east (7 - 3)
sat , dec 1#3:00 pm#17 cincinnati#alabama#fifth third arena cincinnati , oh#espn2#10155#cincinnati , 58 - 56#big east (8 - 3)
