driver#constructor#laps#time / retired#grid
eddie irvine#ferrari#45#1:21:58.594#5
mika salo#ferrari#45#+ 1.007#4
heinz - harald frentzen#jordan - mugen - honda#45#+ 5.195#2
ralf schumacher#williams - supertec#45#+ 12.809#11
david coulthard#mclaren - mercedes#45#+ 16.823#3
olivier panis#prost - peugeot#45#+ 29.879#7
alexander wurz#benetton - playlife#45#+ 33.333#13
jean alesi#sauber - petronas#45#+ 1:11.291#21
marc gené#minardi - ford#45#+ 1:48.318#15
luca badoer#minardi - ford#44#+ 1 lap#19
johnny herbert#stewart - ford#40#gearbox#17
pedro de la rosa#arrows#37#accident#20
mika häkkinen#mclaren - mercedes#25#tyre#1
alessandro zanardi#williams - supertec#21#differential#14
ricardo zonta#bar - supertec#20#engine#18
toranosuke takagi#arrows#15#engine#22
damon hill#jordan - mugen - honda#13#brakes#8
jarno trulli#prost - peugeot#10#engine#9
giancarlo fisichella#benetton - playlife#7#suspension#10
rubens barrichello#stewart - ford#6#hydraulics#6
jacques villeneuve#bar - supertec#0#collision#12
pedro diniz#sauber - petronas#0#collision#16
