name#built by hm dockyard#ordered#laid down#launched
alacrity#deptford#13 june 1817#october 1817#29 december 1818
ariel#deptford#13 june 1817#february 1819#28 july 1820
barracouta#woolwich#13 june 1817#june 1818#13 may 1820
beagle (darwin 's beagle)#woolwich#13 june 1817#june 1818#11 may 1820
bustard#chatham#13 june 1817#november 1817#12 december 1818
brisk#chatham#13 june 1817#november 1817#10 february 1819
delight#portsmouth#13 june 1817#november 1817#10 may 1819
cygnet#portsmouth#13 june 1817#november 1817#11 may 1819
eclipse#plymouth#13 june 1817#march 1818#23 july 1819
emulous (2nd of name)#plymouth#13 june 1817#june 1818#16 december 1819
falcon#pembroke#13 june 1817#may 1818#10 june 1820
frolic#pembroke#13 june 1817#august 1818#10 june 1820
lyra (2nd of name)#plymouth#2 november 1818#march 1819#1 june 1821
jasper (2nd of name)#portsmouth#2 november 1818#may 1819#26 july 1820
britomart (2nd of name)#portsmouth#2 november 1818#june 1819#24 august 1820
partridge#plymouth#2 november 1818#december 1819#22 march 1822
reynard (2nd of name)#pembroke#2 november 1818#may 1820#26 october 1821
weazle#chatham#2 november 1818#may 1820#26 march 1822
kingfisher#woolwich#2 november 1818#december 1820#11 march 1823
procris#chatham#2 november 1818#march 1821#21 june 1822
algerine#deptford#2 november 1818#april 1821#10 june 1823
magnet#woolwich#2 november 1818#june 1821#13 march 1823
halcyon#woolwich#2 november 1818#unknown#cancelled 21 february 1831
zephyr#pembroke#2 november 1818#november 1821#1 november 1823
opossum (2nd of name)#sheerness#2 november 1818#november 1819#11 december 1821
onyx (2nd of name)#sheerness#2 november 1818#november 1819#24 january 1822
plover#portsmouth#23 may 1820#august 1820#30 june 1821
ferret#portsmouth#23 may 1820#august 1820#12 october 1821
hope (2nd of name)#plymouth#23 may 1820#march 1822#8 december 1824
mutine#plymouth#23 may 1820#april 1822#19 may 1825
forester#deptford#23 may 1820#unknown#re - ordered at chatham 23 may 1826
griffon#deptford#23 may 1820#unknown#re - ordered at chatham 23 may 1826
tyrian (2nd of name)#woolwich#6 january 1821#april 1823#16 september 1826
philomel#portsmouth#19 april 1821#june 1821#28 april 1823
royalist#portsmouth#19 april 1821#august 1821#12 may 1823
