res#record#opponent#method#event#round#time#location
draw#17 - 3 - 1#gor harutunian#decision (draw)#100% fight - vip#3#5:00#paris , france
loss#17 - 3#jim miller#submission (rear naked choke)#ufc 89#3#3:19#london , england
win#17 - 2#hayato sakurai#submission (guillotine choke)#shooto - shooto tradition 1#1#4:50#tokyo , japan
win#16 - 2#niek tromp#submission (guillotine choke)#shooto - belgium#1#1:23#charleroi , belgium
win#15 - 2#abdul mohamed#tko (doctor stoppage)#uf 7: 2 tuf 2 tap#1#3:22#england
win#14 - 2#johnny frachey#ko (punch)#xtreme gladiators 3#1#4:58#france
win#13 - 2#jason ball#submission (armbar)#ultimate tear up#1#2:09#middlesbrough , england
loss#12 - 2#takanori gomi#submission (rear naked choke)#pride bushido 12#1#7:10#nagoya , japan
win#12 - 1#joey van wanrooij#submission (strikes)#2h2h - road to japan#1#1:35#netherlands
win#11 - 1#dan hardy#decision (unanimous)#2h2h - road to japan#2#3:00#netherlands
loss#10 - 1#per eklund#decision (unanimous)#evt 6: ragnarok#3#5:00#stockholm , sweden
win#10 - 0#erik oganov#ko (elbows)#m - 1 mfc - russia vs europe#2#3:12#saint petersburg , russia
win#9 - 0#olivier elizabeth#submission (rear - naked choke)#pfa - pancrase fighting association#1#2:50#bonneull , france
win#8 - 0#dan hardy#submission ( triangle choke )#cwfc : strike force#2#3:10#coventry , england
win#7 - 0#sauli heilimo#submission (reverse triangle choke)#shooto sweden - second impact#2#2:33#stockholm , sweden
win#6 - 0#stale nyang#decision (unanimous)#evt 4: gladiators#3#5:00#stockholm , sweden
win#5 - 0#roemer trumpert#submission (triangle choke)#shooto holland - fight night#1#3:01#vlissingen , netherlands
win#4 - 0#jean frederic dutriat#submission (ankle lock)#world absolute fight 2#2#1:42#marrakech , morocco
win#3 - 0#martinsh egle#tko (left hook to the body)#shooto holland - the lords of the ring#1#0:35#deventer , netherlands
win#2 - 0#dirk van opstal#submission (armbar)#shooto holland - night of the warriors#1#2:19#netherlands
win#1 - 0#carl cincinnatus#submission (guillotine choke)#ultra fight kempokan#2#2:08#paris , france
