no in series#no in season#family / families#location (s)#original air date
us11#1#the minyon family#west chester , oh#23 september 2005
us12#2#the webb family#richmond , va#23 september 2005
us13#3#the mcmillion family#grand prairie , tx#30 september 2005
us14#4#the larmer family#fort worth , tx#7 october 2005
us15#5#the amaral family#boca raton , fl#21 october 2005
us16#6#the facente family#n / a#4 november 2005
us17#7#the keilen family#wichita , ks#11 november 2005
us18#8#the tsironis family#n / a#25 november 2005
us19#9#the carsley family#n / a#6 march 2006
us20#10#the schwartz family#n / a#13 march 2006
us21#11#the silva family#las cruces , nm#20 march 2006
us22#12#the young family#sarasota , fl#27 march 2006
us23#13#the harmony family#hutchinson , ks#3 april 2006
us24#14#the wujcik family#n / a#17 april 2006
us25#15#the jackson family#missouri#24 april 2006
us26#16#the newton family#san jose , ca#1 may 2006
