date#tournament#winning score#margin of victory#runner (s) - up
apr 29 , 1984#houston coca - cola open#- 10 (70 + 68 + 68 + 68 = 274)#1 stroke#buddy gardner
may 19 , 1985#colonial national invitation#- 14 (66 + 64 + 68 + 68 = 266)#4 strokes#bob murphy
feb 16 , 1986#hawaiian open#- 16 (67 + 67 + 72 + 66 = 272)#2 strokes#paul azinger
sep 21 , 1986#greater milwaukee open#- 17 (66 + 72 + 67 + 67 = 272)#playoff#dave barr
jan 18 , 1987#bob hope chrysler classic#- 19 (72 - 71 + 65 + 66 + 67 = 341)#1 stroke#bernhard langer
feb 8 , 1987#hawaiian open#- 18 (65 + 75 + 66 + 64 = 270)#playoff#craig stadler
oct 16 , 1988#texas open#- 21 (64 + 63 + 66 + 66 = 259)#8 strokes#robert wrenn
feb 10 , 1991#bob hope chrysler classic#- 29 (65 - 69 + 66 + 66 + 65 = 331)#playoff#mark o'meara
may 12 , 1991#bellsouth atlanta golf classic#- 16 (68 + 67 + 67 + 70 = 272)#playoff#steve pate
mar 15 , 1992#honda classic#- 15 (68 + 67 + 70 + 68 = 273)#playoff#fred couples
feb 13 , 1994#nissan los angeles open#- 13 (67 + 64 + 72 + 68 = 271)#2 strokes#fred couples
feb 26 , 1995#nissan open#- 16 (67 + 66 + 68 + 67 = 268)#3 strokes#jay don blake , kenny perry
jun 18 , 1995#us open#e (72 + 69 + 71 + 68 = 280)#2 strokes#greg norman
may 19 , 1996#mastercard colonial#- 8 (69 + 67 + 67 + 69 = 272)#2 strokes#jeff sluman
jul 30 , 2006#us bank championship in milwaukee#- 20 (61 + 64 + 68 + 67 = 260)#2 strokes#jerry kelly
